model=unet3d params=1.40M  train=800 val=100 global batch=8 (2 x 4 accum)  lr warmup 1e-06->1e-04 over 10 then cosine->1e-07  epochs=200 patience=20
epoch=001 train=0.57824 val=0.57206 IoU=0.0730 Dice=0.1361 P=0.074 R=0.823 lr=1.09e-05 67s
epoch=002 train=0.56617 val=0.55680 IoU=0.1375 Dice=0.2418 P=0.140 R=0.879 lr=2.08e-05 64s
epoch=003 train=0.55562 val=0.54803 IoU=0.1916 Dice=0.3216 P=0.197 R=0.869 lr=3.07e-05 64s
epoch=004 train=0.54877 val=0.54265 IoU=0.2287 Dice=0.3722 P=0.237 R=0.867 lr=4.06e-05 64s
epoch=005 train=0.54274 val=0.53649 IoU=0.2536 Dice=0.4045 P=0.262 R=0.890 lr=5.05e-05 64s
epoch=006 train=0.53658 val=0.53120 IoU=0.2775 Dice=0.4344 P=0.286 R=0.900 lr=6.04e-05 64s
epoch=007 train=0.53101 val=0.52516 IoU=0.3281 Dice=0.4940 P=0.341 R=0.897 lr=7.03e-05 64s
epoch=008 train=0.52564 val=0.51990 IoU=0.3591 Dice=0.5284 P=0.373 R=0.907 lr=8.02e-05 64s
epoch=009 train=0.52073 val=0.51564 IoU=0.3999 Dice=0.5714 P=0.418 R=0.903 lr=9.01e-05 64s
epoch=010 train=0.51668 val=0.51179 IoU=0.4215 Dice=0.5931 P=0.441 R=0.906 lr=1.00e-04 64s
epoch=011 train=0.51218 val=0.50681 IoU=0.4446 Dice=0.6155 P=0.463 R=0.918 lr=1.00e-04 64s
epoch=012 train=0.50799 val=0.50316 IoU=0.4806 Dice=0.6492 P=0.506 R=0.907 lr=1.00e-04 64s
epoch=013 train=0.50429 val=0.50021 IoU=0.4797 Dice=0.6484 P=0.504 R=0.910 lr=9.99e-05 64s
epoch=014 train=0.50057 val=0.49567 IoU=0.4971 Dice=0.6640 P=0.521 R=0.916 lr=9.99e-05 64s
epoch=015 train=0.49612 val=0.49036 IoU=0.5029 Dice=0.6692 P=0.526 R=0.918 lr=9.98e-05 64s
epoch=016 train=0.49047 val=0.48504 IoU=0.5110 Dice=0.6764 P=0.533 R=0.926 lr=9.98e-05 64s
epoch=017 train=0.48568 val=0.48125 IoU=0.5107 Dice=0.6761 P=0.533 R=0.924 lr=9.97e-05 64s
epoch=018 train=0.48135 val=0.47564 IoU=0.5311 Dice=0.6938 P=0.556 R=0.924 lr=9.96e-05 64s
epoch=019 train=0.47624 val=0.47086 IoU=0.5523 Dice=0.7116 P=0.580 R=0.920 lr=9.94e-05 64s
epoch=020 train=0.47161 val=0.46708 IoU=0.5415 Dice=0.7025 P=0.567 R=0.923 lr=9.93e-05 64s
epoch=021 train=0.46644 val=0.46064 IoU=0.5511 Dice=0.7106 P=0.574 R=0.932 lr=9.92e-05 64s
epoch=022 train=0.46174 val=0.45575 IoU=0.5695 Dice=0.7257 P=0.597 R=0.926 lr=9.90e-05 64s
epoch=023 train=0.45658 val=0.45064 IoU=0.5779 Dice=0.7325 P=0.606 R=0.927 lr=9.89e-05 64s
epoch=024 train=0.45129 val=0.44515 IoU=0.5858 Dice=0.7388 P=0.615 R=0.926 lr=9.87e-05 64s
epoch=025 train=0.44665 val=0.44105 IoU=0.5740 Dice=0.7293 P=0.600 R=0.929 lr=9.85e-05 64s
epoch=026 train=0.44130 val=0.43409 IoU=0.5991 Dice=0.7493 P=0.628 R=0.929 lr=9.83e-05 64s
epoch=027 train=0.43603 val=0.42858 IoU=0.6065 Dice=0.7550 P=0.635 R=0.931 lr=9.80e-05 64s
epoch=028 train=0.43133 val=0.42393 IoU=0.6005 Dice=0.7504 P=0.629 R=0.930 lr=9.78e-05 64s
epoch=029 train=0.42533 val=0.41823 IoU=0.6207 Dice=0.7660 P=0.654 R=0.925 lr=9.76e-05 64s
epoch=030 train=0.42032 val=0.41364 IoU=0.6193 Dice=0.7649 P=0.652 R=0.924 lr=9.73e-05 64s
epoch=031 train=0.41435 val=0.40746 IoU=0.6301 Dice=0.7731 P=0.664 R=0.925 lr=9.70e-05 64s
epoch=032 train=0.40889 val=0.40220 IoU=0.6324 Dice=0.7748 P=0.668 R=0.922 lr=9.67e-05 64s
epoch=033 train=0.40426 val=0.39607 IoU=0.6464 Dice=0.7852 P=0.684 R=0.921 lr=9.64e-05 64s
epoch=034 train=0.39789 val=0.39038 IoU=0.6524 Dice=0.7897 P=0.692 R=0.920 lr=9.61e-05 64s
epoch=035 train=0.39217 val=0.38454 IoU=0.6538 Dice=0.7906 P=0.692 R=0.923 lr=9.58e-05 64s
epoch=036 train=0.38675 val=0.37837 IoU=0.6520 Dice=0.7893 P=0.686 R=0.930 lr=9.55e-05 64s
epoch=037 train=0.38147 val=0.37338 IoU=0.6664 Dice=0.7998 P=0.707 R=0.920 lr=9.51e-05 64s
epoch=038 train=0.37535 val=0.36649 IoU=0.6686 Dice=0.8014 P=0.705 R=0.928 lr=9.47e-05 64s
epoch=039 train=0.37074 val=0.36228 IoU=0.6620 Dice=0.7966 P=0.699 R=0.926 lr=9.44e-05 64s
epoch=040 train=0.36450 val=0.35618 IoU=0.6736 Dice=0.8049 P=0.713 R=0.924 lr=9.40e-05 64s
epoch=041 train=0.35988 val=0.35068 IoU=0.6781 Dice=0.8082 P=0.718 R=0.925 lr=9.36e-05 64s
epoch=042 train=0.35515 val=0.34929 IoU=0.6541 Dice=0.7909 P=0.695 R=0.918 lr=9.32e-05 64s
epoch=043 train=0.34903 val=0.33889 IoU=0.6904 Dice=0.8169 P=0.731 R=0.925 lr=9.27e-05 64s
epoch=044 train=0.34355 val=0.33404 IoU=0.6866 Dice=0.8142 P=0.727 R=0.925 lr=9.23e-05 64s
epoch=045 train=0.33814 val=0.33000 IoU=0.6939 Dice=0.8193 P=0.742 R=0.915 lr=9.19e-05 64s
epoch=046 train=0.33328 val=0.32390 IoU=0.6866 Dice=0.8142 P=0.725 R=0.928 lr=9.14e-05 64s
epoch=047 train=0.32755 val=0.31858 IoU=0.6969 Dice=0.8214 P=0.741 R=0.921 lr=9.09e-05 64s
epoch=048 train=0.32190 val=0.31235 IoU=0.7083 Dice=0.8292 P=0.754 R=0.921 lr=9.05e-05 64s
epoch=049 train=0.31779 val=0.30775 IoU=0.7104 Dice=0.8307 P=0.758 R=0.919 lr=9.00e-05 64s
epoch=050 train=0.31239 val=0.30300 IoU=0.7148 Dice=0.8337 P=0.765 R=0.916 lr=8.95e-05 64s
epoch=051 train=0.30776 val=0.29915 IoU=0.7108 Dice=0.8310 P=0.763 R=0.913 lr=8.90e-05 64s
epoch=052 train=0.30318 val=0.29384 IoU=0.7108 Dice=0.8310 P=0.759 R=0.918 lr=8.84e-05 64s
epoch=053 train=0.29831 val=0.28765 IoU=0.7218 Dice=0.8384 P=0.770 R=0.920 lr=8.79e-05 64s
epoch=054 train=0.29344 val=0.28463 IoU=0.7237 Dice=0.8397 P=0.781 R=0.908 lr=8.74e-05 64s
epoch=055 train=0.28913 val=0.27950 IoU=0.7247 Dice=0.8404 P=0.779 R=0.913 lr=8.68e-05 64s
epoch=056 train=0.28524 val=0.27422 IoU=0.7315 Dice=0.8449 P=0.786 R=0.913 lr=8.62e-05 64s
epoch=057 train=0.27976 val=0.27049 IoU=0.7276 Dice=0.8423 P=0.782 R=0.913 lr=8.57e-05 64s
epoch=058 train=0.27560 val=0.27059 IoU=0.7092 Dice=0.8299 P=0.765 R=0.906 lr=8.51e-05 64s
epoch=059 train=0.27254 val=0.26176 IoU=0.7365 Dice=0.8483 P=0.795 R=0.909 lr=8.45e-05 64s
epoch=060 train=0.26624 val=0.25709 IoU=0.7340 Dice=0.8466 P=0.786 R=0.917 lr=8.39e-05 64s
epoch=061 train=0.26258 val=0.25253 IoU=0.7459 Dice=0.8545 P=0.805 R=0.910 lr=8.33e-05 64s
epoch=062 train=0.25974 val=0.25270 IoU=0.7292 Dice=0.8434 P=0.794 R=0.900 lr=8.26e-05 64s
epoch=063 train=0.25521 val=0.24537 IoU=0.7461 Dice=0.8546 P=0.808 R=0.907 lr=8.20e-05 64s
epoch=064 train=0.25105 val=0.24300 IoU=0.7371 Dice=0.8486 P=0.796 R=0.909 lr=8.14e-05 64s
epoch=065 train=0.24820 val=0.23781 IoU=0.7519 Dice=0.8584 P=0.816 R=0.906 lr=8.07e-05 64s
epoch=066 train=0.24425 val=0.23559 IoU=0.7444 Dice=0.8535 P=0.809 R=0.904 lr=8.01e-05 64s
epoch=067 train=0.24116 val=0.23024 IoU=0.7565 Dice=0.8614 P=0.821 R=0.906 lr=7.94e-05 64s
epoch=068 train=0.23724 val=0.22792 IoU=0.7470 Dice=0.8552 P=0.807 R=0.909 lr=7.87e-05 64s
epoch=069 train=0.23348 val=0.22379 IoU=0.7516 Dice=0.8582 P=0.811 R=0.911 lr=7.81e-05 64s
epoch=070 train=0.22958 val=0.22176 IoU=0.7541 Dice=0.8598 P=0.822 R=0.901 lr=7.74e-05 64s
epoch=071 train=0.22759 val=0.21747 IoU=0.7566 Dice=0.8615 P=0.820 R=0.907 lr=7.67e-05 64s
epoch=072 train=0.22466 val=0.21400 IoU=0.7598 Dice=0.8635 P=0.824 R=0.907 lr=7.60e-05 64s
