model,dataset,n,epoch,iou,precision,recall,dice,tol2_precision,tol2_recall,label_fraction,predicted_fraction,ap
UNet-L,v2_val,100,56,0.8219464976612758,0.906063062959624,0.8985143635394136,0.9022729248266725,0.9992950489779109,0.9855885155885719,0.034759535789489746,0.03446994304656983,0.9466867958894576
MaxViT,v2_val,100,200,0.8207012879617328,0.9089604262343637,0.8942046638205126,0.9015221699332177,0.998836467647414,0.9837722301200765,0.034759535789489746,0.034195261001586916,0.9471525111166642
UNet + attention,v2_val,100,36,0.7969064083086888,0.8651651157721931,0.9099149843962696,0.8869759767385603,0.9980679960519919,0.9864763554338968,0.034759535789489746,0.03655744075775146,0.9410419525921163
UNet-L,v2_test,100,56,0.835478257327516,0.9111845122650998,0.9095484299051759,0.9103657360060314,0.9989639742474382,0.9921422035061441,0.034839506149291995,0.034776949882507326,0.9566073706443923
MaxViT,v2_test,100,200,0.8325868632244817,0.9112664880992203,0.9060416288572143,0.9086465476015959,0.9990519626863966,0.9907926968972571,0.034839506149291995,0.03463974952697754,0.9560102934247912
UNet + attention,v2_test,100,36,0.8118247420639615,0.8730202698869961,0.920518577340826,0.8961404745352597,0.9979194928900215,0.9924955935735017,0.034839506149291995,0.03673501491546631,0.9521861815468127
UNet-L,faultseg3d20,20,56,0.5481085467141271,0.884540332092873,0.590344757533924,0.7081009246767508,0.996681344322386,0.9030989856270228,0.07229371070861816,0.048249030113220216,0.7646514266647493
MaxViT,faultseg3d20,20,200,0.4384504910382993,0.8788149982796719,0.46666532551419454,0.6096149902549901,0.9970971792830269,0.759456279198923,0.07229371070861816,0.038389158248901364,0.6479242678376751
UNet + attention,faultseg3d20,20,36,0.563929984459545,0.8589746979230672,0.6214688389818938,0.7211703721563022,0.9954467383713828,0.9160914551658225,0.07229371070861816,0.052304553985595706,0.7858151920610313
UNet-L,wu_style_test,100,56,0.6563518693276881,0.9448372006721435,0.682505513040104,0.7925270970281221,0.9812116344130726,0.9621738110472385,0.06652794361114502,0.048056626319885255,0.8702962446148547
MaxViT,wu_style_test,100,200,0.648797202173768,0.9477193937765884,0.6728800284921338,0.7869945452580781,0.9852861737399091,0.9548621297382632,0.06652794361114502,0.047234787940979,0.8649082191675934
UNet + attention,wu_style_test,100,36,0.6688119753904211,0.9272146845612208,0.7058708976348131,0.8015426366220215,0.9796277905633681,0.9637343846772068,0.06652794361114502,0.050646457672119144,0.8903278944703075
