index,z,y,x,padded_context,valid,positive,tp,fp,fn,iou,dice,precision,recall
0,320,0,0,1,18628,0,0,0,0,0.0,0.0,0.0,0.0
1,320,64,0,1,66461,0,0,0,0,0.0,0.0,0.0,0.0
2,320,64,64,0,50638,0,0,0,0,0.0,0.0,0.0,0.0
3,320,64,128,1,31451,0,0,0,0,0.0,0.0,0.0,0.0
4,320,128,0,1,212550,0,0,0,0,0.0,0.0,0.0,0.0
5,320,128,64,0,212541,0,0,0,0,0.0,0.0,0.0,0.0
6,320,128,128,1,132244,0,0,0,0,0.0,0.0,0.0,0.0
7,320,192,0,1,212971,0,0,0,0,0.0,0.0,0.0,0.0
8,320,192,64,0,212951,0,0,0,0,0.0,0.0,0.0,0.0
9,320,192,128,1,132343,0,0,0,0,0.0,0.0,0.0,0.0
10,320,256,0,1,212936,0,0,0,0,0.0,0.0,0.0,0.0
11,320,256,64,0,213371,0,0,0,0,0.0,0.0,0.0,0.0
12,320,256,128,1,132560,0,0,0,0,0.0,0.0,0.0,0.0
13,320,320,0,1,213768,0,0,0,0,0.0,0.0,0.0,0.0
14,320,320,64,0,213380,0,0,0,0,0.0,0.0,0.0,0.0
15,320,320,128,1,132766,0,0,0,0,0.0,0.0,0.0,0.0
16,320,384,0,1,213931,0,0,0,0,0.0,0.0,0.0,0.0
17,320,384,64,0,213560,0,0,0,0,0.0,0.0,0.0,0.0
18,320,384,128,1,133153,0,0,0,0,0.0,0.0,0.0,0.0
19,320,448,0,1,213978,0,0,0,0,0.0,0.0,0.0,0.0
20,320,448,64,0,213495,0,0,0,0,0.0,0.0,0.0,0.0
21,320,448,128,1,133944,0,0,0,0,0.0,0.0,0.0,0.0
22,320,512,0,1,213662,0,0,0,0,0.0,0.0,0.0,0.0
23,320,512,64,0,213035,0,0,0,0,0.0,0.0,0.0,0.0
24,320,512,128,1,134095,0,0,0,0,0.0,0.0,0.0,0.0
25,320,576,0,1,214240,0,0,0,0,0.0,0.0,0.0,0.0
26,320,576,64,0,213777,0,0,0,0,0.0,0.0,0.0,0.0
27,320,576,128,1,133660,0,0,0,0,0.0,0.0,0.0,0.0
28,320,640,0,1,213905,0,0,0,0,0.0,0.0,0.0,0.0
29,320,640,64,0,213296,0,0,0,0,0.0,0.0,0.0,0.0
30,320,640,128,1,133975,0,0,0,0,0.0,0.0,0.0,0.0
31,320,704,0,1,213934,0,0,0,0,0.0,0.0,0.0,0.0
32,320,704,64,0,213151,0,0,0,0,0.0,0.0,0.0,0.0
33,320,704,128,1,133753,0,0,0,0,0.0,0.0,0.0,0.0
34,320,768,0,1,214184,0,0,0,0,0.0,0.0,0.0,0.0
35,320,768,64,0,213604,0,0,0,0,0.0,0.0,0.0,0.0
36,320,768,128,1,133469,0,0,0,0,0.0,0.0,0.0,0.0
37,320,832,0,1,214361,0,0,0,0,0.0,0.0,0.0,0.0
38,320,832,64,0,214006,0,0,0,0,0.0,0.0,0.0,0.0
39,320,832,128,1,134191,0,0,0,0,0.0,0.0,0.0,0.0
40,320,896,0,1,214202,0,0,0,0,0.0,0.0,0.0,0.0
41,320,896,64,0,214207,0,0,0,0,0.0,0.0,0.0,0.0
42,320,896,128,1,134193,0,0,0,0,0.0,0.0,0.0,0.0
43,320,960,0,1,214308,0,0,0,0,0.0,0.0,0.0,0.0
44,320,960,64,0,214420,0,0,0,0,0.0,0.0,0.0,0.0
45,320,960,128,1,134290,0,0,0,0,0.0,0.0,0.0,0.0
46,320,1024,0,1,213853,0,0,0,0,0.0,0.0,0.0,0.0
47,320,1024,64,0,214086,0,0,0,0,0.0,0.0,0.0,0.0
48,320,1024,128,1,134482,0,0,0,0,0.0,0.0,0.0,0.0
49,320,1088,0,1,213600,0,0,0,0,0.0,0.0,0.0,0.0
50,320,1088,64,0,214097,0,0,0,0,0.0,0.0,0.0,0.0
51,320,1088,128,1,134344,0,0,0,0,0.0,0.0,0.0,0.0
52,320,1152,0,1,214241,0,0,0,0,0.0,0.0,0.0,0.0
53,320,1152,64,0,214420,0,0,0,0,0.0,0.0,0.0,0.0
54,320,1152,128,1,134183,0,0,0,0,0.0,0.0,0.0,0.0
55,320,1216,0,1,214142,0,0,0,0,0.0,0.0,0.0,0.0
