index,z,y,x,padded_context,valid,positive,tp,fp,fn,iou,dice,precision,recall
0,320,0,0,1,18628,0,0,666,0,0.0,0.0,0.0,0.0
1,320,64,0,1,66461,0,0,0,0,0.0,0.0,0.0,0.0
2,320,64,64,0,50638,0,0,0,0,0.0,0.0,0.0,0.0
3,320,64,128,1,31451,0,0,0,0,0.0,0.0,0.0,0.0
4,320,128,0,1,212550,0,0,0,0,0.0,0.0,0.0,0.0
5,320,128,64,0,212541,0,0,0,0,0.0,0.0,0.0,0.0
6,320,128,128,1,132244,0,0,0,0,0.0,0.0,0.0,0.0
7,320,192,0,1,212971,0,0,0,0,0.0,0.0,0.0,0.0
8,320,192,64,0,212951,0,0,0,0,0.0,0.0,0.0,0.0
9,320,192,128,1,132343,0,0,0,0,0.0,0.0,0.0,0.0
10,320,256,0,1,212936,0,0,0,0,0.0,0.0,0.0,0.0
11,320,256,64,0,213371,0,0,0,0,0.0,0.0,0.0,0.0
12,320,256,128,1,132560,0,0,0,0,0.0,0.0,0.0,0.0
13,320,320,0,1,213768,0,0,0,0,0.0,0.0,0.0,0.0
14,320,320,64,0,213380,0,0,0,0,0.0,0.0,0.0,0.0
15,320,320,128,1,132766,0,0,0,0,0.0,0.0,0.0,0.0
16,320,384,0,1,213931,0,0,0,0,0.0,0.0,0.0,0.0
17,320,384,64,0,213560,0,0,19,0,0.0,0.0,0.0,0.0
18,320,384,128,1,133153,0,0,0,0,0.0,0.0,0.0,0.0
19,320,448,0,1,213978,0,0,0,0,0.0,0.0,0.0,0.0
20,320,448,64,0,213495,0,0,116,0,0.0,0.0,0.0,0.0
21,320,448,128,1,133944,0,0,21,0,0.0,0.0,0.0,0.0
22,320,512,0,1,213662,0,0,0,0,0.0,0.0,0.0,0.0
23,320,512,64,0,213035,0,0,0,0,0.0,0.0,0.0,0.0
24,320,512,128,1,134095,0,0,0,0,0.0,0.0,0.0,0.0
25,320,576,0,1,214240,0,0,0,0,0.0,0.0,0.0,0.0
26,320,576,64,0,213777,0,0,0,0,0.0,0.0,0.0,0.0
27,320,576,128,1,133660,0,0,0,0,0.0,0.0,0.0,0.0
28,320,640,0,1,213905,0,0,0,0,0.0,0.0,0.0,0.0
29,320,640,64,0,213296,0,0,0,0,0.0,0.0,0.0,0.0
30,320,640,128,1,133975,0,0,0,0,0.0,0.0,0.0,0.0
31,320,704,0,1,213934,0,0,4,0,0.0,0.0,0.0,0.0
32,320,704,64,0,213151,0,0,0,0,0.0,0.0,0.0,0.0
33,320,704,128,1,133753,0,0,21,0,0.0,0.0,0.0,0.0
34,320,768,0,1,214184,0,0,0,0,0.0,0.0,0.0,0.0
35,320,768,64,0,213604,0,0,0,0,0.0,0.0,0.0,0.0
36,320,768,128,1,133469,0,0,0,0,0.0,0.0,0.0,0.0
37,320,832,0,1,214361,0,0,0,0,0.0,0.0,0.0,0.0
38,320,832,64,0,214006,0,0,0,0,0.0,0.0,0.0,0.0
39,320,832,128,1,134191,0,0,0,0,0.0,0.0,0.0,0.0
40,320,896,0,1,214202,0,0,0,0,0.0,0.0,0.0,0.0
41,320,896,64,0,214207,0,0,0,0,0.0,0.0,0.0,0.0
42,320,896,128,1,134193,0,0,0,0,0.0,0.0,0.0,0.0
43,320,960,0,1,214308,0,0,0,0,0.0,0.0,0.0,0.0
44,320,960,64,0,214420,0,0,0,0,0.0,0.0,0.0,0.0
45,320,960,128,1,134290,0,0,0,0,0.0,0.0,0.0,0.0
46,320,1024,0,1,213853,0,0,0,0,0.0,0.0,0.0,0.0
47,320,1024,64,0,214086,0,0,0,0,0.0,0.0,0.0,0.0
48,320,1024,128,1,134482,0,0,0,0,0.0,0.0,0.0,0.0
49,320,1088,0,1,213600,0,0,99,0,0.0,0.0,0.0,0.0
50,320,1088,64,0,214097,0,0,0,0,0.0,0.0,0.0,0.0
51,320,1088,128,1,134344,0,0,0,0,0.0,0.0,0.0,0.0
52,320,1152,0,1,214241,0,0,0,0,0.0,0.0,0.0,0.0
53,320,1152,64,0,214420,0,0,0,0,0.0,0.0,0.0,0.0
54,320,1152,128,1,134183,0,0,0,0,0.0,0.0,0.0,0.0
55,320,1216,0,1,214142,0,0,102,0,0.0,0.0,0.0,0.0
56,320,1216,64,0,214645,0,0,0,0,0.0,0.0,0.0,0.0
57,320,1216,128,1,134157,0,0,0,0,0.0,0.0,0.0,0.0
58,320,1280,0,1,214333,0,0,0,0,0.0,0.0,0.0,0.0
59,320,1280,64,0,214988,0,0,0,0,0.0,0.0,0.0,0.0
60,320,1280,128,1,134460,0,0,0,0,0.0,0.0,0.0,0.0
61,320,1344,0,1,214342,0,0,0,0,0.0,0.0,0.0,0.0
62,320,1344,64,0,215060,0,0,0,0,0.0,0.0,0.0,0.0
63,320,1344,128,1,134379,0,0,0,0,0.0,0.0,0.0,0.0
64,320,1408,0,1,214325,0,0,0,0,0.0,0.0,0.0,0.0
65,320,1408,64,0,215122,0,0,0,0,0.0,0.0,0.0,0.0
66,320,1408,128,1,134561,0,0,0,0,0.0,0.0,0.0,0.0
67,320,1472,0,1,214572,0,0,0,0,0.0,0.0,0.0,0.0
68,320,1472,64,0,215012,0,0,0,0,0.0,0.0,0.0,0.0
69,320,1472,128,1,134433,0,0,0,0,0.0,0.0,0.0,0.0
70,320,1536,0,1,214824,0,0,0,0,0.0,0.0,0.0,0.0
71,320,1536,64,0,215084,0,0,0,0,0.0,0.0,0.0,0.0
72,320,1536,128,1,134331,0,0,0,0,0.0,0.0,0.0,0.0
73,320,1600,0,1,214856,0,0,0,0,0.0,0.0,0.0,0.0
74,320,1600,64,0,215525,0,0,0,0,0.0,0.0,0.0,0.0
75,320,1600,128,1,134566,0,0,0,0,0.0,0.0,0.0,0.0
76,320,1664,0,1,215528,0,0,0,0,0.0,0.0,0.0,0.0
77,320,1664,64,0,215165,0,0,0,0,0.0,0.0,0.0,0.0
78,320,1664,128,1,134436,0,0,0,0,0.0,0.0,0.0,0.0
79,320,1728,0,1,215261,0,0,0,0,0.0,0.0,0.0,0.0
80,320,1728,64,0,215532,0,0,0,0,0.0,0.0,0.0,0.0
81,320,1728,128,1,134181,0,0,0,0,0.0,0.0,0.0,0.0
82,320,1792,0,1,215472,0,0,0,0,0.0,0.0,0.0,0.0
83,320,1792,64,0,215757,0,0,0,0,0.0,0.0,0.0,0.0
84,320,1792,128,1,134424,0,0,7,0,0.0,0.0,0.0,0.0
85,320,1856,0,1,215697,0,0,0,0,0.0,0.0,0.0,0.0
86,320,1856,64,0,215526,0,0,0,0,0.0,0.0,0.0,0.0
87,320,1856,128,1,134378,0,0,0,0,0.0,0.0,0.0,0.0
88,320,1920,0,1,215274,0,0,0,0,0.0,0.0,0.0,0.0
89,320,1920,64,0,216135,0,0,0,0,0.0,0.0,0.0,0.0
90,320,1920,128,1,134419,0,0,0,0,0.0,0.0,0.0,0.0
91,320,1984,0,1,215513,0,0,0,0,0.0,0.0,0.0,0.0
92,320,1984,64,0,215720,0,0,0,0,0.0,0.0,0.0,0.0
