run,history,data,history_rows,last_epoch,configured_epochs,best_recorded_val_iou,best_val_epoch,best_val_precision,best_val_recall,model,parameters_recorded,protocol_hash,metric_source,test_json_status
runs/compact_maxvit_smoke_20260916,runs/compact_maxvit_smoke_20260916/log.csv,data/dataset_reproduction_v2,2,2.0,200,0.049474806460923,2,0.054405552187670674,0.35312848272568065,compact_maxvit3d,9489043,4caf323f71699d3195906146d8af908023d1ebf48f6070521a3d39a317105570,val_iou from CSV; checkpoint selection may instead use val_loss,absent
runs/compact_maxvit_v2_m0_20260916,runs/compact_maxvit_v2_m0_20260916/log.csv,data/dataset_reproduction_v2,54,54.0,200,0.7903451389451088,53,0.8928248063511683,0.8731874698800469,compact_maxvit3d,9489043,4caf323f71699d3195906146d8af908023d1ebf48f6070521a3d39a317105570,val_iou from CSV; checkpoint selection may instead use val_loss,absent
runs/maxvit3d_dbvit_ddp,runs/maxvit3d_dbvit_ddp/log.csv,data/dataset_reproduction_v2,88,88.0,200,0.7579,88,0.8708,0.854,dbvit,7867925,4caf323f71699d3195906146d8af908023d1ebf48f6070521a3d39a317105570,val_iou from CSV; checkpoint selection may instead use val_loss,absent
runs/maxvit3d_dbvit_frs_ddp,runs/maxvit3d_dbvit_frs_ddp/log.csv,data/dataset_reproduction_v2,14,14.0,200,0.5989,14,0.7405,0.758,dbvit,7895637,4caf323f71699d3195906146d8af908023d1ebf48f6070521a3d39a317105570,val_iou from CSV; checkpoint selection may instead use val_loss,absent
runs/maxvit3d_dbvit_legacy_ddp,runs/maxvit3d_dbvit_legacy_ddp/log.csv,legacy dataset (overrides args.data; see training loader),65,65.0,200,0.441,63,0.5512,0.6882,dbvit,7867925,legacy:split_manifest.json:seed2026,val_iou from CSV; checkpoint selection may instead use val_loss,absent
runs/maxvit3d_dyn_ddp,runs/maxvit3d_dyn_ddp/log.csv,data/dataset_reproduction_v2,11,11.0,200,0.4302,11,0.4602,0.8683,maxvit3d_dyn,40180204,4caf323f71699d3195906146d8af908023d1ebf48f6070521a3d39a317105570,val_iou from CSV; checkpoint selection may instead use val_loss,absent
runs/maxvit3d_full_oldrecipe_ddp,runs/maxvit3d_full_oldrecipe_ddp/log.csv,data/dataset_reproduction_v2,141,141.0,200,0.8131,138,0.8967,0.8971,maxvit3d_d2s,40233171,4caf323f71699d3195906146d8af908023d1ebf48f6070521a3d39a317105570,val_iou from CSV; checkpoint selection may instead use val_loss,unverified provenance; do not treat as in-domain automatically
runs/maxvit3d_legacy_maxvit_pico,runs/maxvit3d_legacy_maxvit_pico/log.csv,legacy dataset (overrides args.data; see training loader),0,0,1000,,,,,maxvit3d,9787949,legacy:split_manifest.json:seed2026,val_iou from CSV; checkpoint selection may instead use val_loss,absent
runs/maxvit3d_legacy_unet_lg_xl,runs/maxvit3d_legacy_unet_lg_xl/log.csv,legacy dataset (overrides args.data; see training loader),5,5.0,1000,0.2083,5,0.2146,0.8768,unet_maxvit3d,39042873,legacy:split_manifest.json:seed2026,val_iou from CSV; checkpoint selection may instead use val_loss,absent
runs/maxvit3d_par_maxvit_pico,runs/maxvit3d_par_maxvit_pico/log.csv,legacy dataset (overrides args.data; see training loader),10,10.0,1000,0.1991,10,0.2075,0.832,maxvit3d,9787949,legacy:split_manifest.json:seed2026,val_iou from CSV; checkpoint selection may instead use val_loss,absent
runs/maxvit3d_par_maxvit_tiny,runs/maxvit3d_par_maxvit_tiny/log.csv,legacy dataset (overrides args.data; see training loader),227,227.0,1000,0.6012,222,0.7311,0.7718,maxvit3d,40164233,legacy:split_manifest.json:seed2026,val_iou from CSV; checkpoint selection may instead use val_loss,unverified provenance; do not treat as in-domain automatically
runs/maxvit3d_par_unet_b30,runs/maxvit3d_par_unet_b30/log.csv,legacy dataset (overrides args.data; see training loader),238,238.0,1000,0.558,237,0.6837,0.7522,unet3d,4920451,legacy:split_manifest.json:seed2026,val_iou from CSV; checkpoint selection may instead use val_loss,unverified provenance; do not treat as in-domain automatically
runs/maxvit3d_par_unet_lg_b30,runs/maxvit3d_par_unet_lg_b30/log.csv,legacy dataset (overrides args.data; see training loader),223,223.0,1000,0.583,222,0.7031,0.7734,unet_maxvit3d,6098751,legacy:split_manifest.json:seed2026,val_iou from CSV; checkpoint selection may instead use val_loss,unverified provenance; do not treat as in-domain automatically
runs/maxvit3d_sweep_b16,runs/maxvit3d_sweep_b16/log.csv,legacy dataset (overrides args.data; see training loader),10,10.0,10,0.2054,10,0.2108,0.8893,unet3d,1399857,legacy:split_manifest.json:seed2026,val_iou from CSV; checkpoint selection may instead use val_loss,absent
runs/maxvit3d_sweep_b32,runs/maxvit3d_sweep_b32/log.csv,legacy dataset (overrides args.data; see training loader),10,10.0,10,0.2171,10,0.2223,0.9027,unet3d,5598305,legacy:split_manifest.json:seed2026,val_iou from CSV; checkpoint selection may instead use val_loss,absent
runs/maxvit3d_sweep_b42,runs/maxvit3d_sweep_b42/log.csv,legacy dataset (overrides args.data; see training loader),3,3.0,10,0.1686,3,0.1726,0.8793,unet3d,9643495,legacy:split_manifest.json:seed2026,val_iou from CSV; checkpoint selection may instead use val_loss,absent
runs/maxvit3d_thebe2_maxvit_tiny,runs/maxvit3d_thebe2_maxvit_tiny/log.csv,data/dataset_reproduction_v2,5,5.0,100,0.1841,5,0.2084,0.6124,maxvit3d,40164233,thebe:random-cubes:2400/epoch,val_iou from CSV; checkpoint selection may instead use val_loss,absent
runs/maxvit3d_thebe2_unet_b30_probe5,runs/maxvit3d_thebe2_unet_b30_probe5/log.csv,data/dataset_reproduction_v2,5,5.0,5,0.2075,4,0.2311,0.6703,unet3d,4920451,thebe:random-cubes:2400/epoch,val_iou from CSV; checkpoint selection may instead use val_loss,absent
runs/maxvit3d_thebe_maxvit_tiny,runs/maxvit3d_thebe_maxvit_tiny/log.csv,data/dataset_reproduction_v2,73,73.0,100,0.4197,59,0.5199,0.6852,maxvit3d,40164233,thebe:thebe_cubes:2400,val_iou from CSV; checkpoint selection may instead use val_loss,absent
runs/maxvit3d_thebe_unet_b30,runs/maxvit3d_thebe_unet_b30/log.csv,data/dataset_reproduction_v2,24,24.0,100,0.3653,17,0.4347,0.6958,unet3d,4920451,thebe:thebe_cubes:2400,val_iou from CSV; checkpoint selection may instead use val_loss,absent
runs/maxvit3d_unet_l_ddp,runs/maxvit3d_unet_l_ddp/log.csv,data/dataset_reproduction_v2,56,56.0,200,0.8219,56,0.9061,0.8985,unet3d,9643495,4caf323f71699d3195906146d8af908023d1ebf48f6070521a3d39a317105570,val_iou from CSV; checkpoint selection may instead use val_loss,unverified provenance; do not treat as in-domain automatically
runs/maxvit3d_unet_l_dicesq,runs/maxvit3d_unet_l_dicesq/log.csv,data/dataset_reproduction_v2,46,46.0,200,0.8141,44,0.8959,0.8992,unet3d,9643495,4caf323f71699d3195906146d8af908023d1ebf48f6070521a3d39a317105570,val_iou from CSV; checkpoint selection may instead use val_loss,absent
runs/maxvit3d_unet_lg_ddp,runs/maxvit3d_unet_lg_ddp/log.csv,data/dataset_reproduction_v2,36,36.0,200,0.7969,36,0.8652,0.9099,unet_maxvit3d,11938235,4caf323f71699d3195906146d8af908023d1ebf48f6070521a3d39a317105570,val_iou from CSV; checkpoint selection may instead use val_loss,absent
runs/maxvit3d_v1,runs/maxvit3d_v1/log.csv,data/dataset_v1_parts,59,59.0,60,0.4984,47,0.5201,0.9228,maxvit3d,,,val_iou from CSV; checkpoint selection may instead use val_loss,absent
runs/maxvit3d_v2,runs/maxvit3d_v2/log.csv,data/dataset_reproduction_v2,47,47.0,60,0.6533,35,0.685,0.9339,maxvit3d,,4caf323f71699d3195906146d8af908023d1ebf48f6070521a3d39a317105570,val_iou from CSV; checkpoint selection may instead use val_loss,unverified provenance; do not treat as in-domain automatically
runs/maxvit3d_v2_all3,runs/maxvit3d_v2_all3/log.csv,data/dataset_reproduction_v2,60,60.0,60,0.7102,60,0.7364,0.9523,maxvit3d,,4caf323f71699d3195906146d8af908023d1ebf48f6070521a3d39a317105570,val_iou from CSV; checkpoint selection may instead use val_loss,absent
runs/maxvit3d_v2_dp02,runs/maxvit3d_v2_dp02/log.csv,data/dataset_reproduction_v2,47,47.0,60,0.648,35,0.6759,0.9401,maxvit3d,,4caf323f71699d3195906146d8af908023d1ebf48f6070521a3d39a317105570,val_iou from CSV; checkpoint selection may instead use val_loss,absent
runs/maxvit3d_v2_frs,runs/maxvit3d_v2_frs/log.csv,data/dataset_reproduction_v2,60,60.0,60,0.7025,52,0.7333,0.9437,maxvit3d,,4caf323f71699d3195906146d8af908023d1ebf48f6070521a3d39a317105570,val_iou from CSV; checkpoint selection may instead use val_loss,absent
runs/maxvit3d_v2_n200,runs/maxvit3d_v2_n200/log.csv,data/dataset_reproduction_v2,60,60.0,60,0.4799,55,0.4998,0.9233,maxvit3d,,4caf323f71699d3195906146d8af908023d1ebf48f6070521a3d39a317105570,val_iou from CSV; checkpoint selection may instead use val_loss,absent
