epoch,train_loss,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage
1,0.57159,0.56340,0.0888,0.1631,0.0901,0.8547,1.09e-05,182,0.0930,0.0816,0.0943,0.0986,0.0742
2,0.55639,0.54497,0.1603,0.2763,0.1661,0.8211,2.08e-05,172,0.1898,0.1454,0.1768,0.1796,0.1121
3,0.54396,0.53572,0.2098,0.3468,0.2190,0.8325,3.07e-05,169,0.2498,0.1958,0.2338,0.2294,0.1434
4,0.53663,0.52916,0.2467,0.3958,0.2603,0.8259,4.06e-05,170,0.2887,0.2352,0.2742,0.2693,0.1674
5,0.52997,0.52315,0.2603,0.4130,0.2742,0.8365,5.05e-05,169,0.3109,0.2418,0.2948,0.2887,0.1697
6,0.52357,0.51662,0.2877,0.4468,0.3042,0.8411,6.04e-05,170,0.3433,0.2703,0.3230,0.3146,0.1906
7,0.51728,0.50989,0.3250,0.4906,0.3479,0.8316,7.03e-05,170,0.3834,0.3087,0.3621,0.3460,0.2238
8,0.50968,0.49937,0.3324,0.4990,0.3500,0.8685,8.02e-05,172,0.4085,0.3127,0.3696,0.3566,0.2222
9,0.49955,0.48857,0.3658,0.5356,0.3875,0.8672,9.01e-05,169,0.4505,0.3386,0.3948,0.3880,0.2565
10,0.48814,0.47639,0.3817,0.5525,0.4054,0.8669,1.00e-04,169,0.4779,0.3499,0.4134,0.4049,0.2656
11,0.47318,0.45945,0.4414,0.6124,0.4754,0.8604,1.00e-04,169,0.5323,0.4154,0.4675,0.4696,0.3160
12,0.45713,0.43917,0.4584,0.6286,0.4883,0.8822,1.00e-04,168,0.5579,0.4325,0.4824,0.4939,0.3249
13,0.43778,0.42064,0.5020,0.6684,0.5461,0.8614,9.99e-05,169,0.5994,0.4728,0.5161,0.5270,0.3786
14,0.41737,0.39670,0.5185,0.6829,0.5596,0.8761,9.99e-05,174,0.6271,0.4996,0.5421,0.5483,0.3732
15,0.39475,0.37650,0.5400,0.7013,0.5929,0.8582,9.98e-05,168,0.6381,0.5188,0.5502,0.5631,0.4122
16,0.37238,0.34873,0.5688,0.7252,0.6212,0.8710,9.98e-05,168,0.6741,0.5455,0.5768,0.5940,0.4360
17,0.34821,0.32360,0.6141,0.7609,0.6858,0.8545,9.97e-05,169,0.7353,0.5907,0.6159,0.6363,0.4715
18,0.32598,0.30140,0.6212,0.7663,0.6965,0.8517,9.96e-05,170,0.7354,0.6010,0.6217,0.6413,0.4844
19,0.30553,0.28048,0.6298,0.7728,0.7051,0.8549,9.94e-05,168,0.7472,0.6077,0.6332,0.6520,0.4886
20,0.28400,0.26092,0.6447,0.7839,0.7302,0.8463,9.93e-05,169,0.7679,0.6259,0.6462,0.6661,0.4994
21,0.26742,0.24446,0.6528,0.7900,0.7435,0.8427,9.92e-05,169,0.7653,0.6418,0.6491,0.6697,0.5150
22,0.25181,0.22812,0.6616,0.7963,0.7512,0.8472,9.90e-05,169,0.7757,0.6444,0.6617,0.6812,0.5210
23,0.23432,0.21567,0.6749,0.8059,0.7859,0.8270,9.89e-05,168,0.7967,0.6555,0.6655,0.6934,0.5366
24,0.22161,0.20053,0.6888,0.8157,0.8010,0.8310,9.87e-05,168,0.8121,0.6651,0.6807,0.7082,0.5467
25,0.21039,0.19102,0.6858,0.8136,0.7870,0.8421,9.85e-05,169,0.8024,0.6688,0.6812,0.7005,0.5486
26,0.20081,0.18156,0.6943,0.8196,0.8032,0.8366,9.83e-05,169,0.8093,0.6830,0.6869,0.7148,0.5498
27,0.19184,0.17215,0.6977,0.8219,0.7950,0.8507,9.80e-05,168,0.8146,0.6843,0.6936,0.7174,0.5560
28,0.18302,0.16477,0.7036,0.8260,0.8044,0.8487,9.78e-05,169,0.8177,0.6899,0.6964,0.7217,0.5659
29,0.17717,0.15824,0.7101,0.8305,0.8206,0.8405,9.76e-05,169,0.8256,0.6922,0.7038,0.7269,0.5751
30,0.16958,0.15171,0.7142,0.8333,0.8160,0.8514,9.73e-05,168,0.8264,0.6943,0.7045,0.7333,0.5839
31,0.16691,0.14953,0.7171,0.8352,0.8436,0.8271,9.70e-05,167,0.8332,0.7039,0.7147,0.7335,0.5704
32,0.16058,0.14175,0.7260,0.8413,0.8451,0.8375,9.67e-05,168,0.8417,0.7119,0.7178,0.7448,0.5864
33,0.15553,0.13834,0.7292,0.8434,0.8519,0.8350,9.64e-05,168,0.8483,0.7041,0.7183,0.7474,0.5938
34,0.15513,0.13553,0.7267,0.8417,0.8383,0.8453,9.61e-05,168,0.8396,0.7081,0.7171,0.7429,0.5964
35,0.14931,0.13223,0.7279,0.8425,0.8308,0.8546,9.58e-05,168,0.8427,0.7111,0.7197,0.7424,0.5953
36,0.14526,0.12809,0.7345,0.8469,0.8510,0.8429,9.55e-05,169,0.8458,0.7212,0.7247,0.7515,0.6025
37,0.14431,0.12809,0.7331,0.8460,0.8616,0.8309,9.51e-05,171,0.8413,0.7125,0.7216,0.7494,0.6089
38,0.13946,0.13299,0.7143,0.8333,0.8267,0.8401,9.47e-05,171,0.8282,0.6874,0.7013,0.7283,0.5971
39,0.13847,0.12305,0.7358,0.8478,0.8484,0.8472,9.44e-05,169,0.8454,0.7158,0.7260,0.7534,0.6085
40,0.13538,0.11968,0.7396,0.8503,0.8456,0.8552,9.40e-05,169,0.8487,0.7190,0.7327,0.7561,0.6135
41,0.13369,0.11798,0.7408,0.8511,0.8464,0.8559,9.36e-05,169,0.8470,0.7197,0.7312,0.7593,0.6180
42,0.13069,0.11472,0.7468,0.8551,0.8482,0.8620,9.32e-05,173,0.8616,0.7222,0.7374,0.7648,0.6189
43,0.12785,0.11380,0.7490,0.8565,0.8740,0.8397,9.27e-05,169,0.8630,0.7247,0.7369,0.7692,0.6196
44,0.12743,0.12039,0.7310,0.8446,0.8574,0.8322,9.23e-05,169,0.8443,0.7085,0.7222,0.7486,0.5989
