epoch,train_loss,train_seg,train_profile,train_trace,ramp,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage
1,0.57523,0.57523,0.00000,0.00000,0.00,0.55238,0.0888,0.1632,0.0958,0.5500,1.09e-05,70,0.0836,0.0889,0.1005,0.0912,0.0785
2,0.52651,0.52651,0.00000,0.00000,0.00,0.47327,0.2058,0.3414,0.2469,0.5528,2.08e-05,67,0.2343,0.2130,0.2285,0.1954,0.1517
3,0.43826,0.43826,0.00000,0.00000,0.00,0.36690,0.3150,0.4791,0.4389,0.5275,3.07e-05,67,0.3667,0.3378,0.3461,0.3059,0.1986
4,0.37800,0.37800,0.00000,0.00000,0.00,0.33072,0.3550,0.5240,0.4891,0.5643,4.06e-05,67,0.4105,0.3810,0.3911,0.3564,0.2221
5,0.34911,0.34911,0.00000,0.00000,0.00,0.30778,0.3850,0.5560,0.5167,0.6017,5.05e-05,67,0.4476,0.4135,0.4259,0.3880,0.2422
6,0.32787,0.32787,0.00000,0.00000,0.00,0.28841,0.4131,0.5846,0.5461,0.6290,6.04e-05,67,0.4855,0.4380,0.4502,0.4193,0.2649
7,0.30610,0.30610,0.00000,0.00000,0.00,0.26895,0.4433,0.6142,0.5909,0.6395,7.03e-05,67,0.5279,0.4686,0.4758,0.4455,0.2918
8,0.29117,0.29117,0.00000,0.00000,0.00,0.25450,0.4645,0.6344,0.6052,0.6665,8.02e-05,67,0.5539,0.4889,0.4930,0.4649,0.3162
9,0.27098,0.27098,0.00000,0.00000,0.00,0.23377,0.4989,0.6657,0.6388,0.6950,9.01e-05,67,0.6071,0.5148,0.5164,0.4979,0.3499
10,0.25636,0.25636,0.00000,0.00000,0.00,0.21760,0.5287,0.6917,0.6672,0.7180,1.00e-04,68,0.6421,0.5398,0.5403,0.5287,0.3797
11,0.24126,0.24126,0.00000,0.00000,0.05,0.20377,0.5522,0.7115,0.6874,0.7372,1.00e-04,67,0.6709,0.5599,0.5576,0.5521,0.4069
12,0.22714,0.22714,0.00000,0.00000,0.10,0.19569,0.5683,0.7247,0.7066,0.7437,1.00e-04,68,0.6884,0.5605,0.5712,0.5672,0.4308
13,0.22038,0.22038,0.00000,0.00000,0.15,0.18596,0.5840,0.7374,0.7140,0.7624,9.99e-05,67,0.7065,0.5815,0.5868,0.5814,0.4444
14,0.21184,0.21184,0.00000,0.00000,0.20,0.18123,0.5948,0.7459,0.7378,0.7542,9.99e-05,67,0.7207,0.5904,0.5911,0.5898,0.4608
15,0.20274,0.20274,0.00000,0.00000,0.25,0.17611,0.6040,0.7531,0.7560,0.7503,9.98e-05,68,0.7310,0.6041,0.6007,0.5955,0.4699
16,0.19543,0.19543,0.00000,0.00000,0.30,0.17143,0.6107,0.7583,0.7374,0.7804,9.98e-05,68,0.7344,0.6090,0.6106,0.6034,0.4772
17,0.19366,0.19366,0.00000,0.00000,0.35,0.16612,0.6224,0.7673,0.7616,0.7730,9.97e-05,68,0.7500,0.6188,0.6202,0.6151,0.4868
18,0.18722,0.18722,0.00000,0.00000,0.40,0.16407,0.6262,0.7701,0.7667,0.7736,9.96e-05,67,0.7486,0.6177,0.6251,0.6220,0.4941
19,0.18172,0.18172,0.00000,0.00000,0.45,0.15778,0.6380,0.7790,0.7726,0.7854,9.94e-05,67,0.7681,0.6344,0.6359,0.6321,0.5007
20,0.17968,0.17968,0.00000,0.00000,0.50,0.15545,0.6421,0.7820,0.7759,0.7883,9.93e-05,67,0.7663,0.6425,0.6366,0.6376,0.5080
21,0.17846,0.17846,0.00000,0.00000,0.55,0.15322,0.6463,0.7852,0.7790,0.7914,9.92e-05,67,0.7701,0.6449,0.6439,0.6395,0.5123
22,0.17410,0.17410,0.00000,0.00000,0.60,0.15270,0.6481,0.7865,0.7803,0.7927,9.90e-05,67,0.7734,0.6427,0.6448,0.6475,0.5104
23,0.17055,0.17055,0.00000,0.00000,0.65,0.14975,0.6548,0.7914,0.8072,0.7762,9.89e-05,67,0.7869,0.6507,0.6467,0.6502,0.5204
24,0.16637,0.16637,0.00000,0.00000,0.70,0.14461,0.6650,0.7988,0.8037,0.7941,9.87e-05,67,0.7908,0.6600,0.6570,0.6630,0.5327
25,0.16395,0.16395,0.00000,0.00000,0.75,0.14457,0.6621,0.7967,0.7835,0.8103,9.85e-05,67,0.7866,0.6564,0.6591,0.6608,0.5288
26,0.16268,0.16268,0.00000,0.00000,0.80,0.14092,0.6723,0.8040,0.8129,0.7953,9.83e-05,67,0.7990,0.6652,0.6652,0.6721,0.5374
27,0.16123,0.16123,0.00000,0.00000,0.85,0.13998,0.6733,0.8047,0.8088,0.8007,9.80e-05,67,0.7940,0.6699,0.6663,0.6723,0.5420
28,0.15902,0.15902,0.00000,0.00000,0.90,0.13803,0.6765,0.8070,0.8032,0.8109,9.78e-05,67,0.7991,0.6717,0.6682,0.6741,0.5481
