epoch,train_loss,train_seg,train_profile,train_trace,ramp,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage
1,0.57109,0.57109,0.00000,0.00000,0.00,0.55181,0.0972,0.1772,0.1034,0.6195,1.09e-05,77,0.0969,0.0947,0.1049,0.1004,0.0873
2,0.52860,0.52860,0.00000,0.00000,0.00,0.48656,0.1962,0.3280,0.2293,0.5758,2.08e-05,72,0.2219,0.2017,0.2095,0.1826,0.1609
3,0.44826,0.44826,0.00000,0.00000,0.00,0.37089,0.3220,0.4872,0.4466,0.5359,3.07e-05,73,0.3678,0.3426,0.3588,0.3080,0.2159
4,0.37606,0.37606,0.00000,0.00000,0.00,0.32126,0.3729,0.5432,0.5118,0.5788,4.06e-05,73,0.4272,0.3919,0.4124,0.3753,0.2409
5,0.34279,0.34279,0.00000,0.00000,0.00,0.29629,0.4048,0.5763,0.5527,0.6019,5.05e-05,73,0.4666,0.4295,0.4505,0.4080,0.2580
6,0.31805,0.31805,0.00000,0.00000,0.00,0.27477,0.4358,0.6070,0.5757,0.6419,6.04e-05,73,0.5102,0.4579,0.4792,0.4435,0.2815
7,0.29677,0.29677,0.00000,0.00000,0.00,0.25860,0.4624,0.6324,0.6227,0.6424,7.03e-05,73,0.5438,0.4854,0.5023,0.4651,0.3061
8,0.28381,0.28381,0.00000,0.00000,0.00,0.24465,0.4832,0.6516,0.6337,0.6705,8.02e-05,73,0.5678,0.5033,0.5201,0.4843,0.3287
9,0.26435,0.26435,0.00000,0.00000,0.00,0.22797,0.5119,0.6771,0.6593,0.6960,9.01e-05,73,0.6092,0.5255,0.5404,0.5133,0.3555
10,0.25182,0.25182,0.00000,0.00000,0.00,0.21339,0.5367,0.6985,0.6814,0.7166,1.00e-04,73,0.6414,0.5443,0.5583,0.5411,0.3827
11,0.23697,0.23697,0.00000,0.00000,0.05,0.20038,0.5597,0.7177,0.6958,0.7410,1.00e-04,73,0.6733,0.5654,0.5790,0.5639,0.4013
12,0.22491,0.22491,0.00000,0.00000,0.10,0.19055,0.5788,0.7332,0.7190,0.7480,1.00e-04,73,0.6898,0.5772,0.5908,0.5830,0.4316
13,0.21776,0.21776,0.00000,0.00000,0.15,0.18439,0.5874,0.7401,0.7156,0.7663,9.99e-05,73,0.7045,0.5807,0.5980,0.5903,0.4433
14,0.21043,0.21043,0.00000,0.00000,0.20,0.17919,0.5989,0.7492,0.7405,0.7580,9.99e-05,73,0.7163,0.5909,0.6033,0.6014,0.4583
