epoch,train_loss,train_seg,train_profile,train_trace,ramp,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage,val_iou_intersecting_conjugate
1,0.58819,0.58819,0.00000,0.00000,0.00,0.56622,0.0898,0.1647,0.0957,0.5898,1.09e-05,77,0.0734,0.0786,0.0822,0.0817,0.0490,0.1871
2,0.53988,0.53988,0.00000,0.00000,0.00,0.50365,0.1479,0.2577,0.1664,0.5707,2.08e-05,74,0.1313,0.1402,0.1443,0.1450,0.0708,0.2811
3,0.48497,0.48497,0.00000,0.00000,0.00,0.44381,0.2004,0.3339,0.2449,0.5249,3.07e-05,74,0.2212,0.2321,0.2457,0.2533,0.0756,0.2901
4,0.45128,0.45128,0.00000,0.00000,0.00,0.41669,0.2264,0.3692,0.3072,0.4626,4.06e-05,74,0.2694,0.2504,0.3135,0.3357,0.0724,0.3063
5,0.43206,0.43206,0.00000,0.00000,0.00,0.40475,0.2412,0.3887,0.3064,0.5314,5.05e-05,74,0.2517,0.2815,0.3508,0.3236,0.0731,0.3558
6,0.41976,0.41976,0.00000,0.00000,0.00,0.38767,0.2688,0.4237,0.3395,0.5633,6.04e-05,74,0.2906,0.2679,0.3713,0.3866,0.0758,0.4024
7,0.40644,0.40644,0.00000,0.00000,0.00,0.40343,0.2626,0.4159,0.3170,0.6046,7.03e-05,74,0.2608,0.2285,0.3002,0.3364,0.0766,0.4273
8,0.40149,0.40149,0.00000,0.00000,0.00,0.37696,0.2827,0.4408,0.3383,0.6325,8.02e-05,74,0.3086,0.2819,0.3796,0.3809,0.0796,0.4420
9,0.39413,0.39413,0.00000,0.00000,0.00,0.36821,0.2918,0.4518,0.3514,0.6323,9.01e-05,74,0.3003,0.3075,0.4220,0.4068,0.0805,0.4604
10,0.38948,0.38948,0.00000,0.00000,0.00,0.36306,0.3128,0.4765,0.3809,0.6361,1.00e-04,74,0.3306,0.2825,0.4060,0.4124,0.0912,0.4701
11,0.38217,0.38217,0.00000,0.00000,0.05,0.35510,0.3199,0.4847,0.3973,0.6213,1.00e-04,74,0.3289,0.3143,0.4239,0.4262,0.0950,0.4825
12,0.37577,0.37577,0.00000,0.00000,0.10,0.35105,0.3277,0.4937,0.4149,0.6094,1.00e-04,74,0.3435,0.2949,0.4368,0.4412,0.0988,0.4923
13,0.37490,0.37490,0.00000,0.00000,0.15,0.34806,0.3387,0.5060,0.4239,0.6277,9.99e-05,74,0.3327,0.3227,0.4398,0.4425,0.1013,0.5020
14,0.37018,0.37018,0.00000,0.00000,0.20,0.34073,0.3365,0.5036,0.4190,0.6309,9.99e-05,74,0.3665,0.3160,0.4385,0.4556,0.1071,0.5156
