epoch,train_loss,train_seg,train_profile,train_trace,ramp,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage
1,0.57146,0.57146,0.00000,0.00000,0.00,0.56292,0.0898,0.1649,0.0912,0.8594,1.09e-05,54,0.0949,0.0821,0.0952,0.0997,0.0750
2,0.55647,0.55647,0.00000,0.00000,0.00,0.54449,0.1677,0.2873,0.1742,0.8192,2.08e-05,46,0.1994,0.1535,0.1880,0.1870,0.1134
3,0.54393,0.54393,0.00000,0.00000,0.00,0.53584,0.2101,0.3473,0.2201,0.8231,3.07e-05,45,0.2473,0.1965,0.2355,0.2322,0.1410
4,0.53620,0.53620,0.00000,0.00000,0.00,0.52976,0.2416,0.3892,0.2549,0.8228,4.06e-05,45,0.2835,0.2299,0.2722,0.2666,0.1598
5,0.53017,0.53017,0.00000,0.00000,0.00,0.52340,0.2669,0.4214,0.2819,0.8344,5.05e-05,45,0.3139,0.2555,0.2953,0.2867,0.1832
6,0.52399,0.52399,0.00000,0.00000,0.00,0.51650,0.2856,0.4443,0.3006,0.8518,6.04e-05,45,0.3420,0.2670,0.3170,0.3132,0.1927
7,0.51721,0.51721,0.00000,0.00000,0.00,0.50863,0.3246,0.4901,0.3437,0.8536,7.03e-05,46,0.3983,0.3000,0.3547,0.3503,0.2213
8,0.51048,0.51048,0.00000,0.00000,0.00,0.50068,0.3291,0.4952,0.3468,0.8654,8.02e-05,46,0.4041,0.2984,0.3611,0.3524,0.2301
9,0.50092,0.50092,0.00000,0.00000,0.00,0.49033,0.3520,0.5207,0.3715,0.8706,9.01e-05,45,0.4340,0.3248,0.3867,0.3823,0.2387
10,0.49022,0.49022,0.00000,0.00000,0.00,0.47809,0.3958,0.5671,0.4228,0.8612,1.00e-04,45,0.4858,0.3763,0.4283,0.4201,0.2718
11,0.47629,0.47629,0.00000,0.00000,0.05,0.46164,0.4302,0.6016,0.4602,0.8683,1.00e-04,45,0.5242,0.4064,0.4570,0.4589,0.3032
