epoch,train_loss,train_seg,train_profile,train_trace,ramp,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage
1,0.57145,0.57145,0.00000,0.00000,0.00,0.56296,0.0896,0.1645,0.0910,0.8590,1.09e-05,56,0.0946,0.0819,0.0951,0.0994,0.0749
2,0.55643,0.55643,0.00000,0.00000,0.00,0.54445,0.1691,0.2893,0.1757,0.8185,2.08e-05,48,0.2023,0.1541,0.1890,0.1876,0.1148
3,0.54392,0.54392,0.00000,0.00000,0.00,0.53602,0.2117,0.3494,0.2219,0.8215,3.07e-05,48,0.2491,0.1970,0.2397,0.2303,0.1432
4,0.53627,0.53627,0.00000,0.00000,0.00,0.52961,0.2443,0.3926,0.2578,0.8234,4.06e-05,48,0.2845,0.2326,0.2754,0.2665,0.1644
5,0.53012,0.53012,0.00000,0.00000,0.00,0.52359,0.2692,0.4242,0.2848,0.8308,5.05e-05,49,0.3177,0.2578,0.2994,0.2886,0.1826
6,0.52405,0.52405,0.00000,0.00000,0.00,0.51651,0.2849,0.4434,0.2997,0.8519,6.04e-05,48,0.3442,0.2637,0.3175,0.3123,0.1908
7,0.51734,0.51734,0.00000,0.00000,0.00,0.50867,0.3221,0.4872,0.3407,0.8546,7.03e-05,48,0.3960,0.2969,0.3520,0.3485,0.2188
8,0.51060,0.51060,0.00000,0.00000,0.00,0.50089,0.3268,0.4926,0.3441,0.8664,8.02e-05,48,0.3994,0.2955,0.3586,0.3504,0.2298
9,0.50111,0.50111,0.00000,0.00000,0.00,0.49030,0.3541,0.5230,0.3739,0.8700,9.01e-05,48,0.4365,0.3268,0.3895,0.3853,0.2391
10,0.49055,0.49055,0.00000,0.00000,0.00,0.47842,0.3906,0.5618,0.4168,0.8615,1.00e-04,48,0.4810,0.3672,0.4261,0.4172,0.2663
11,0.47887,0.47704,0.20594,0.32098,0.05,0.46285,0.4249,0.5964,0.4553,0.8640,1.00e-04,50,0.5208,0.4024,0.4540,0.4525,0.2949
12,0.46327,0.45995,0.18968,0.28350,0.10,0.44256,0.4765,0.6454,0.5130,0.8700,1.00e-04,50,0.5687,0.4512,0.4951,0.5058,0.3504
13,0.44690,0.44225,0.17564,0.26806,0.15,0.42318,0.5058,0.6718,0.5486,0.8664,9.99e-05,50,0.6033,0.4882,0.5217,0.5326,0.3727
14,0.42730,0.42157,0.15939,0.25415,0.20,0.40192,0.5261,0.6895,0.5736,0.8641,9.99e-05,50,0.6301,0.5035,0.5360,0.5480,0.3984
15,0.40632,0.39979,0.14572,0.23126,0.25,0.37837,0.5489,0.7087,0.6011,0.8634,9.98e-05,50,0.6561,0.5250,0.5576,0.5683,0.4206
16,0.38332,0.37611,0.13175,0.21717,0.30,0.35545,0.5687,0.7250,0.6271,0.8593,9.98e-05,51,0.6810,0.5431,0.5815,0.5883,0.4321
17,0.36227,0.35444,0.12111,0.20493,0.35,0.33082,0.5845,0.7378,0.6421,0.8670,9.97e-05,50,0.7056,0.5633,0.5968,0.6062,0.4378
18,0.34096,0.33243,0.11230,0.20204,0.40,0.31128,0.5910,0.7429,0.6560,0.8564,9.96e-05,51,0.7036,0.5687,0.5962,0.6130,0.4533
19,0.31902,0.31002,0.10342,0.19321,0.45,0.28955,0.6144,0.7611,0.6932,0.8439,9.94e-05,50,0.7299,0.5988,0.6187,0.6338,0.4725
20,0.29850,0.28908,0.09539,0.18595,0.50,0.26403,0.6495,0.7875,0.7374,0.8450,9.93e-05,50,0.7667,0.6334,0.6493,0.6714,0.5044
21,0.28063,0.27088,0.08876,0.17728,0.55,0.24708,0.6579,0.7936,0.7500,0.8427,9.92e-05,50,0.7770,0.6381,0.6566,0.6740,0.5176
22,0.26456,0.25420,0.08428,0.17685,0.60,0.23276,0.6680,0.8009,0.7762,0.8273,9.90e-05,50,0.7882,0.6583,0.6691,0.6847,0.5201
23,0.24746,0.23697,0.07832,0.16622,0.65,0.21822,0.6706,0.8028,0.7764,0.8310,9.89e-05,50,0.7953,0.6580,0.6657,0.6896,0.5216
24,0.23713,0.22590,0.07660,0.16773,0.70,0.20485,0.6800,0.8096,0.7856,0.8350,9.87e-05,50,0.7974,0.6574,0.6760,0.6964,0.5437
25,0.22422,0.21272,0.07212,0.16243,0.75,0.19422,0.6842,0.8125,0.7906,0.8357,9.85e-05,50,0.8027,0.6646,0.6758,0.6968,0.5538
26,0.21393,0.20199,0.06909,0.16039,0.80,0.18420,0.6911,0.8173,0.7979,0.8377,9.83e-05,54,0.7980,0.6778,0.6888,0.7104,0.5514
27,0.20782,0.19536,0.06887,0.15549,0.85,0.17682,0.6912,0.8174,0.7934,0.8429,9.80e-05,50,0.8067,0.6710,0.6850,0.7067,0.5576
28,0.19900,0.18612,0.06601,0.15408,0.90,0.17157,0.6897,0.8164,0.7937,0.8404,9.78e-05,50,0.7989,0.6689,0.6803,0.7081,0.5636
29,0.19281,0.17943,0.06443,0.15277,0.95,0.16097,0.7057,0.8275,0.8080,0.8479,9.76e-05,51,0.8237,0.6887,0.7009,0.7201,0.5678
30,0.18650,0.17280,0.06257,0.14886,1.00,0.15512,0.7105,0.8307,0.8230,0.8386,9.73e-05,50,0.8261,0.6944,0.7041,0.7273,0.5717
31,0.18208,0.16830,0.06225,0.15106,1.00,0.14685,0.7206,0.8376,0.8262,0.8494,9.70e-05,50,0.8380,0.7031,0.7120,0.7383,0.5845
32,0.17496,0.16175,0.05945,0.14523,1.00,0.14676,0.7169,0.8351,0.8475,0.8230,9.67e-05,50,0.8339,0.7056,0.7100,0.7312,0.5781
33,0.17004,0.15724,0.05857,0.13876,1.00,0.13993,0.7248,0.8404,0.8419,0.8389,9.64e-05,50,0.8429,0.7034,0.7150,0.7353,0.5972
34,0.16592,0.15329,0.05722,0.13812,1.00,0.13615,0.7274,0.8422,0.8430,0.8414,9.61e-05,50,0.8466,0.7084,0.7202,0.7468,0.5853
35,0.16047,0.14801,0.05589,0.13749,1.00,0.13411,0.7261,0.8413,0.8376,0.8450,9.58e-05,50,0.8436,0.7046,0.7168,0.7422,0.5949
36,0.16077,0.14819,0.05698,0.13765,1.00,0.13063,0.7287,0.8430,0.8374,0.8487,9.55e-05,50,0.8375,0.7073,0.7199,0.7458,0.6037
37,0.15375,0.14175,0.05407,0.13187,1.00,0.12720,0.7336,0.8464,0.8446,0.8482,9.51e-05,50,0.8501,0.7094,0.7226,0.7510,0.6054
38,0.15241,0.14023,0.05398,0.13554,1.00,0.12541,0.7321,0.8453,0.8319,0.8592,9.47e-05,50,0.8431,0.7152,0.7241,0.7503,0.5996
39,0.14731,0.13575,0.05221,0.12670,1.00,0.11998,0.7422,0.8520,0.8454,0.8587,9.44e-05,52,0.8564,0.7238,0.7331,0.7592,0.6119
40,0.14736,0.13558,0.05297,0.12976,1.00,0.11871,0.7445,0.8536,0.8603,0.8470,9.40e-05,50,0.8591,0.7253,0.7350,0.7600,0.6152
41,0.14159,0.13039,0.05045,0.12329,1.00,0.11720,0.7443,0.8534,0.8534,0.8534,9.36e-05,50,0.8585,0.7157,0.7352,0.7606,0.6217
42,0.14250,0.13088,0.05131,0.12984,1.00,0.11441,0.7500,0.8572,0.8629,0.8515,9.32e-05,50,0.8595,0.7273,0.7390,0.7661,0.6268
43,0.13968,0.12858,0.05092,0.11998,1.00,0.11481,0.7447,0.8537,0.8494,0.8580,9.27e-05,50,0.8555,0.7253,0.7369,0.7591,0.6189
44,0.14043,0.12892,0.05150,0.12719,1.00,0.11312,0.7486,0.8562,0.8711,0.8419,9.23e-05,50,0.8565,0.7283,0.7354,0.7674,0.6242
45,0.13727,0.12615,0.05040,0.12155,1.00,0.11321,0.7459,0.8545,0.8688,0.8406,9.19e-05,50,0.8559,0.7295,0.7334,0.7588,0.6233
46,0.13590,0.12487,0.04986,0.12083,1.00,0.11021,0.7487,0.8563,0.8442,0.8687,9.14e-05,51,0.8498,0.7296,0.7393,0.7704,0.6263
47,0.13442,0.12321,0.04942,0.12538,1.00,0.10830,0.7549,0.8603,0.8730,0.8480,9.09e-05,50,0.8662,0.7273,0.7404,0.7722,0.6377
48,0.13252,0.12157,0.04884,0.12123,1.00,0.10935,0.7501,0.8572,0.8661,0.8486,9.05e-05,50,0.8594,0.7326,0.7460,0.7664,0.6173
49,0.13077,0.11997,0.04824,0.11965,1.00,0.10964,0.7478,0.8557,0.8650,0.8467,9.00e-05,50,0.8504,0.7224,0.7383,0.7727,0.6240
50,0.12900,0.11831,0.04758,0.11865,1.00,0.10456,0.7576,0.8621,0.8522,0.8722,8.95e-05,50,0.8644,0.7353,0.7477,0.7776,0.6332
51,0.12706,0.11663,0.04683,0.11489,1.00,0.10196,0.7642,0.8664,0.8721,0.8607,8.90e-05,51,0.8689,0.7428,0.7514,0.7835,0.6429
52,0.12564,0.11538,0.04641,0.11241,1.00,0.10220,0.7629,0.8655,0.8755,0.8557,8.84e-05,50,0.8693,0.7392,0.7516,0.7856,0.6367
53,0.12554,0.11508,0.04676,0.11569,1.00,0.10093,0.7651,0.8669,0.8796,0.8546,8.79e-05,50,0.8747,0.7409,0.7516,0.7832,0.6446
54,0.12448,0.11416,0.04637,0.11370,1.00,0.10060,0.7649,0.8668,0.8788,0.8550,8.74e-05,50,0.8742,0.7442,0.7515,0.7796,0.6447
