epoch,train_loss,train_seg,train_profile,train_trace,ramp,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage,val_iou_intersecting_conjugate
1,0.60210,0.60210,0.00000,0.00000,0.00,0.59486,0.0327,0.0634,0.0329,0.8987,1.09e-05,40,0.0223,0.0246,0.0264,0.0249,0.0194,0.0936
2,0.58798,0.58798,0.00000,0.00000,0.00,0.58203,0.0872,0.1604,0.0893,0.7870,2.08e-05,34,0.0743,0.0799,0.0801,0.0785,0.0481,0.1762
3,0.58046,0.58046,0.00000,0.00000,0.00,0.57650,0.1120,0.2015,0.1154,0.7924,3.07e-05,33,0.0956,0.1074,0.1062,0.1051,0.0589,0.2160
4,0.57688,0.57688,0.00000,0.00000,0.00,0.57297,0.1341,0.2365,0.1388,0.7961,4.06e-05,33,0.1178,0.1341,0.1314,0.1349,0.0663,0.2490
5,0.57368,0.57368,0.00000,0.00000,0.00,0.57057,0.1459,0.2546,0.1520,0.7836,5.05e-05,34,0.1371,0.1538,0.1543,0.1588,0.0641,0.2589
6,0.57048,0.57048,0.00000,0.00000,0.00,0.56623,0.1532,0.2657,0.1588,0.8133,6.04e-05,33,0.1386,0.1604,0.1585,0.1636,0.0670,0.2803
7,0.56652,0.56652,0.00000,0.00000,0.00,0.56237,0.1597,0.2754,0.1649,0.8362,7.03e-05,33,0.1370,0.1597,0.1569,0.1601,0.0687,0.3059
8,0.56270,0.56270,0.00000,0.00000,0.00,0.55845,0.1704,0.2912,0.1764,0.8326,8.02e-05,33,0.1504,0.1699,0.1741,0.1701,0.0720,0.3216
9,0.55832,0.55832,0.00000,0.00000,0.00,0.55388,0.1767,0.3004,0.1828,0.8427,9.01e-05,34,0.1624,0.1859,0.1854,0.1814,0.0673,0.3397
10,0.55363,0.55363,0.00000,0.00000,0.00,0.54773,0.1991,0.3321,0.2075,0.8320,1.00e-04,33,0.1818,0.2044,0.2033,0.2109,0.0817,0.3648
