epoch,train_loss,train_seg,train_profile,train_trace,ramp,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage,val_iou_intersecting_conjugate
1,0.58676,0.58676,0.00000,0.00000,0.00,0.58055,0.0992,0.1804,0.1025,0.7533,1.09e-05,57,0.0880,0.0948,0.0923,0.0928,0.0519,0.1905
2,0.57807,0.57807,0.00000,0.00000,0.00,0.57276,0.1296,0.2294,0.1345,0.7805,2.08e-05,48,0.1247,0.1368,0.1331,0.1371,0.0598,0.2190
3,0.57150,0.57150,0.00000,0.00000,0.00,0.56645,0.1417,0.2482,0.1460,0.8258,3.07e-05,48,0.1323,0.1535,0.1467,0.1524,0.0625,0.2520
4,0.56651,0.56651,0.00000,0.00000,0.00,0.56151,0.1658,0.2845,0.1721,0.8190,4.06e-05,48,0.1519,0.1755,0.1689,0.1798,0.0727,0.2964
5,0.56186,0.56186,0.00000,0.00000,0.00,0.55757,0.1849,0.3122,0.1932,0.8121,5.05e-05,48,0.1795,0.2041,0.1981,0.2040,0.0746,0.3253
6,0.55789,0.55789,0.00000,0.00000,0.00,0.55370,0.1905,0.3200,0.1985,0.8257,6.04e-05,48,0.1823,0.2059,0.1996,0.2146,0.0795,0.3477
7,0.55328,0.55328,0.00000,0.00000,0.00,0.54951,0.1921,0.3223,0.1984,0.8585,7.03e-05,48,0.1873,0.2140,0.2036,0.2163,0.0704,0.3846
8,0.54904,0.54904,0.00000,0.00000,0.00,0.54552,0.1910,0.3208,0.1971,0.8620,8.02e-05,48,0.1656,0.1780,0.1841,0.1773,0.0816,0.3906
9,0.54352,0.54352,0.00000,0.00000,0.00,0.53806,0.2170,0.3566,0.2250,0.8603,9.01e-05,48,0.1993,0.2230,0.2192,0.2153,0.0822,0.4443
10,0.53702,0.53702,0.00000,0.00000,0.00,0.52945,0.2359,0.3818,0.2449,0.8658,1.00e-04,48,0.2251,0.2475,0.2440,0.2550,0.0928,0.4807
11,0.52998,0.52998,0.00000,0.00000,0.05,0.52131,0.2531,0.4039,0.2650,0.8488,1.00e-04,48,0.2283,0.2549,0.2518,0.2522,0.0984,0.5270
12,0.52122,0.52122,0.00000,0.00000,0.10,0.51190,0.2515,0.4020,0.2617,0.8665,1.00e-04,48,0.2374,0.2639,0.2615,0.2573,0.0978,0.5314
13,0.51172,0.51172,0.00000,0.00000,0.15,0.50153,0.2680,0.4227,0.2811,0.8513,1.00e-04,48,0.2522,0.2752,0.2842,0.2874,0.1042,0.5503
14,0.50113,0.50113,0.00000,0.00000,0.20,0.48707,0.2808,0.4385,0.2934,0.8670,1.00e-04,48,0.2724,0.3000,0.3003,0.2972,0.1088,0.5808
15,0.48839,0.48839,0.00000,0.00000,0.25,0.47453,0.2989,0.4603,0.3176,0.8357,1.00e-04,48,0.2890,0.3047,0.3277,0.3154,0.1099,0.6082
16,0.47600,0.47600,0.00000,0.00000,0.30,0.46322,0.2927,0.4528,0.3093,0.8444,1.00e-04,49,0.2854,0.2966,0.3192,0.3235,0.1052,0.5901
17,0.46460,0.46460,0.00000,0.00000,0.35,0.44654,0.3333,0.4999,0.3634,0.8007,1.00e-04,48,0.3384,0.3298,0.3753,0.3689,0.1188,0.6290
18,0.44963,0.44963,0.00000,0.00000,0.40,0.43603,0.3219,0.4870,0.3512,0.7941,1.00e-04,48,0.3230,0.3140,0.3661,0.3490,0.1209,0.6132
19,0.43611,0.43611,0.00000,0.00000,0.45,0.41472,0.3515,0.5202,0.3862,0.7966,1.00e-04,48,0.3719,0.3650,0.4122,0.4085,0.1225,0.6527
20,0.42306,0.42306,0.00000,0.00000,0.50,0.39989,0.3719,0.5422,0.4182,0.7707,1.00e-04,49,0.3849,0.3768,0.4339,0.4350,0.1276,0.6689
21,0.41059,0.41059,0.00000,0.00000,0.55,0.39939,0.3519,0.5206,0.3995,0.7471,1.00e-04,48,0.3336,0.3402,0.4019,0.3903,0.1186,0.6713
22,0.39840,0.39840,0.00000,0.00000,0.60,0.38176,0.3668,0.5367,0.4203,0.7423,1.00e-04,48,0.3786,0.3947,0.4331,0.4169,0.1301,0.6324
23,0.38843,0.38843,0.00000,0.00000,0.65,0.36375,0.3781,0.5487,0.4234,0.7795,1.00e-04,48,0.3908,0.4005,0.4523,0.4425,0.1399,0.6632
24,0.37555,0.37555,0.00000,0.00000,0.70,0.35825,0.3999,0.5714,0.4766,0.7131,1.00e-04,48,0.4201,0.4074,0.4705,0.4684,0.1186,0.6936
25,0.36819,0.36819,0.00000,0.00000,0.75,0.35146,0.3941,0.5654,0.4654,0.7201,1.00e-04,48,0.3731,0.4134,0.4621,0.4613,0.1399,0.6744
26,0.36032,0.36032,0.00000,0.00000,0.80,0.34078,0.3927,0.5639,0.4607,0.7267,1.00e-04,48,0.3928,0.4170,0.4508,0.4598,0.1477,0.6737
27,0.35098,0.35098,0.00000,0.00000,0.85,0.32863,0.4167,0.5882,0.4958,0.7230,1.00e-04,49,0.4461,0.4283,0.5005,0.4829,0.1339,0.6939
28,0.34898,0.34898,0.00000,0.00000,0.90,0.33763,0.3961,0.5675,0.4735,0.7080,1.00e-04,48,0.3742,0.3693,0.4559,0.4392,0.1431,0.6933
29,0.33981,0.33981,0.00000,0.00000,0.95,0.32043,0.4104,0.5820,0.4858,0.7257,1.00e-04,48,0.4112,0.4308,0.4966,0.4842,0.1435,0.6999
30,0.33431,0.33431,0.00000,0.00000,1.00,0.30924,0.4233,0.5949,0.5103,0.7130,1.00e-04,48,0.4862,0.4334,0.5170,0.5115,0.1346,0.7014
31,0.32799,0.32799,0.00000,0.00000,1.00,0.30874,0.4207,0.5922,0.4932,0.7410,1.00e-04,48,0.4388,0.4252,0.4942,0.4839,0.1489,0.7044
32,0.32408,0.32408,0.00000,0.00000,1.00,0.29865,0.4314,0.6028,0.5095,0.7378,1.00e-04,48,0.4714,0.4697,0.5098,0.5151,0.1416,0.7109
33,0.31816,0.31816,0.00000,0.00000,1.00,0.29694,0.4298,0.6012,0.5013,0.7508,1.00e-04,48,0.4638,0.4615,0.5009,0.5045,0.1459,0.7135
