epoch,train_loss,train_seg,train_profile,train_trace,ramp,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage,val_iou_intersecting_conjugate
1,0.58490,0.58490,0.00000,0.00000,0.00,0.57778,0.0981,0.1787,0.1001,0.8305,1.09e-05,41,0.0757,0.0838,0.0870,0.0820,0.0470,0.2374
2,0.57481,0.57481,0.00000,0.00000,0.00,0.56895,0.1502,0.2612,0.1545,0.8439,2.08e-05,35,0.1337,0.1506,0.1461,0.1431,0.0634,0.2902
3,0.56758,0.56758,0.00000,0.00000,0.00,0.56278,0.1713,0.2925,0.1760,0.8657,3.07e-05,34,0.1611,0.1827,0.1793,0.1774,0.0655,0.3265
4,0.56286,0.56286,0.00000,0.00000,0.00,0.55891,0.1795,0.3043,0.1842,0.8740,4.06e-05,34,0.1703,0.1931,0.1857,0.1862,0.0678,0.3497
5,0.55891,0.55891,0.00000,0.00000,0.00,0.55666,0.1855,0.3130,0.1912,0.8624,5.05e-05,34,0.1706,0.1961,0.1969,0.1852,0.0671,0.3652
6,0.55514,0.55514,0.00000,0.00000,0.00,0.55152,0.1963,0.3281,0.2022,0.8710,6.04e-05,34,0.1855,0.2050,0.2057,0.2063,0.0698,0.3916
7,0.55044,0.55044,0.00000,0.00000,0.00,0.54618,0.1882,0.3167,0.1919,0.9056,7.03e-05,34,0.1675,0.1918,0.1842,0.1838,0.0703,0.4013
8,0.54606,0.54606,0.00000,0.00000,0.00,0.54234,0.2010,0.3347,0.2066,0.8818,8.02e-05,34,0.1892,0.2060,0.2022,0.1954,0.0717,0.4293
9,0.54098,0.54098,0.00000,0.00000,0.00,0.53652,0.2139,0.3525,0.2203,0.8812,9.01e-05,34,0.1974,0.2239,0.2175,0.2158,0.0710,0.4883
10,0.53576,0.53576,0.00000,0.00000,0.00,0.52968,0.2145,0.3532,0.2195,0.9044,1.00e-04,34,0.2016,0.2192,0.2252,0.2133,0.0762,0.5096
11,0.53001,0.53001,0.00000,0.00000,0.05,0.52345,0.2282,0.3717,0.2348,0.8910,1.00e-04,34,0.2145,0.2358,0.2369,0.2319,0.0789,0.5571
12,0.52349,0.52349,0.00000,0.00000,0.10,0.51644,0.2340,0.3792,0.2405,0.8967,1.00e-04,34,0.2303,0.2552,0.2511,0.2381,0.0792,0.5699
13,0.51742,0.51742,0.00000,0.00000,0.15,0.51060,0.2423,0.3901,0.2503,0.8832,1.00e-04,34,0.2289,0.2449,0.2594,0.2412,0.0827,0.5860
14,0.51099,0.51099,0.00000,0.00000,0.20,0.50231,0.2544,0.4057,0.2636,0.8798,1.00e-04,34,0.2434,0.2662,0.2761,0.2633,0.0844,0.6205
15,0.50352,0.50352,0.00000,0.00000,0.25,0.49433,0.2525,0.4032,0.2603,0.8944,1.00e-04,34,0.2421,0.2650,0.2708,0.2388,0.0871,0.6273
16,0.49679,0.49679,0.00000,0.00000,0.30,0.48794,0.2624,0.4158,0.2724,0.8780,1.00e-04,34,0.2553,0.2699,0.2876,0.2709,0.0882,0.6212
17,0.49011,0.49011,0.00000,0.00000,0.35,0.48072,0.2700,0.4252,0.2819,0.8645,1.00e-04,35,0.2647,0.2774,0.3031,0.2788,0.0918,0.6188
18,0.48206,0.48206,0.00000,0.00000,0.40,0.47542,0.2657,0.4198,0.2782,0.8555,1.00e-04,35,0.2494,0.2671,0.2953,0.2694,0.0901,0.6558
19,0.47434,0.47434,0.00000,0.00000,0.45,0.46305,0.2903,0.4500,0.3040,0.8658,1.00e-04,35,0.2874,0.3016,0.3222,0.2971,0.0955,0.6595
20,0.46691,0.46691,0.00000,0.00000,0.50,0.45661,0.3022,0.4641,0.3206,0.8401,1.00e-04,35,0.2875,0.2955,0.3421,0.3126,0.0996,0.6788
21,0.45912,0.45912,0.00000,0.00000,0.55,0.45470,0.2912,0.4511,0.3110,0.8206,1.00e-04,35,0.2738,0.2841,0.3321,0.3099,0.0952,0.6872
22,0.45223,0.45223,0.00000,0.00000,0.60,0.43982,0.3036,0.4658,0.3211,0.8474,1.00e-04,35,0.3084,0.3217,0.3471,0.3331,0.1032,0.6561
23,0.44439,0.44439,0.00000,0.00000,0.65,0.43113,0.3218,0.4869,0.3425,0.8416,1.00e-04,35,0.3273,0.3271,0.3742,0.3595,0.1059,0.7044
24,0.43682,0.43682,0.00000,0.00000,0.70,0.42703,0.3272,0.4931,0.3586,0.7887,1.00e-04,35,0.3382,0.3445,0.3946,0.3993,0.1020,0.6726
25,0.43075,0.43075,0.00000,0.00000,0.75,0.42786,0.3200,0.4848,0.3531,0.7731,1.00e-04,35,0.2971,0.3271,0.3745,0.3615,0.1110,0.6624
26,0.42371,0.42371,0.00000,0.00000,0.80,0.41147,0.3299,0.4962,0.3577,0.8094,1.00e-04,35,0.3342,0.3385,0.4011,0.3841,0.1099,0.7063
27,0.41550,0.41550,0.00000,0.00000,0.85,0.39979,0.3525,0.5213,0.3820,0.8204,1.00e-04,35,0.3730,0.3455,0.4267,0.4092,0.1124,0.7261
28,0.41013,0.41013,0.00000,0.00000,0.90,0.39532,0.3545,0.5234,0.3918,0.7882,1.00e-04,35,0.3791,0.3710,0.4566,0.4450,0.1042,0.7280
29,0.40302,0.40302,0.00000,0.00000,0.95,0.38932,0.3510,0.5196,0.3819,0.8126,1.00e-04,35,0.3568,0.3610,0.4333,0.4140,0.1157,0.7076
30,0.39882,0.39882,0.00000,0.00000,1.00,0.38123,0.3785,0.5492,0.4265,0.7708,1.00e-04,34,0.4123,0.3632,0.4736,0.4758,0.1092,0.7308
31,0.39167,0.39167,0.00000,0.00000,1.00,0.38082,0.3568,0.5260,0.3984,0.7737,1.00e-04,35,0.3790,0.3564,0.4402,0.4227,0.1179,0.6942
32,0.38826,0.38826,0.00000,0.00000,1.00,0.37205,0.3676,0.5376,0.4092,0.7832,1.00e-04,35,0.4045,0.3724,0.4866,0.4537,0.1135,0.7068
33,0.38211,0.38211,0.00000,0.00000,1.00,0.36195,0.3852,0.5562,0.4332,0.7767,1.00e-04,35,0.4134,0.3903,0.4938,0.4823,0.1162,0.7427
34,0.37369,0.37369,0.00000,0.00000,1.00,0.35701,0.3871,0.5581,0.4370,0.7721,1.00e-04,35,0.4294,0.3834,0.5037,0.4752,0.1208,0.7266
35,0.37138,0.37138,0.00000,0.00000,1.00,0.35945,0.3669,0.5368,0.4066,0.7896,1.00e-04,34,0.3992,0.3586,0.4862,0.4481,0.1099,0.7268
36,0.36716,0.36716,0.00000,0.00000,1.00,0.35395,0.3839,0.5548,0.4380,0.7563,1.00e-04,34,0.4231,0.3696,0.4761,0.4736,0.1187,0.6989
37,0.36083,0.36083,0.00000,0.00000,1.00,0.33960,0.4064,0.5779,0.4656,0.7616,1.00e-04,35,0.4631,0.3975,0.5206,0.5026,0.1287,0.7365
