epoch,train_loss,train_seg,train_profile,train_trace,ramp,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage,val_iou_intersecting_conjugate
1,0.58487,0.58487,0.00000,0.00000,0.00,0.57769,0.0992,0.1805,0.1012,0.8324,1.09e-05,46,0.0764,0.0847,0.0876,0.0831,0.0481,0.2383
2,0.57478,0.57478,0.00000,0.00000,0.00,0.56892,0.1501,0.2610,0.1544,0.8451,2.08e-05,39,0.1334,0.1509,0.1461,0.1427,0.0633,0.2906
3,0.56756,0.56756,0.00000,0.00000,0.00,0.56273,0.1723,0.2939,0.1770,0.8657,3.07e-05,39,0.1622,0.1846,0.1804,0.1782,0.0659,0.3273
4,0.56285,0.56285,0.00000,0.00000,0.00,0.55886,0.1787,0.3032,0.1833,0.8761,4.06e-05,39,0.1692,0.1931,0.1850,0.1845,0.0676,0.3487
5,0.55890,0.55890,0.00000,0.00000,0.00,0.55656,0.1855,0.3130,0.1911,0.8647,5.05e-05,39,0.1717,0.1978,0.1975,0.1850,0.0673,0.3644
6,0.55511,0.55511,0.00000,0.00000,0.00,0.55147,0.1959,0.3276,0.2017,0.8719,6.04e-05,39,0.1859,0.2063,0.2061,0.2052,0.0697,0.3906
7,0.55037,0.55037,0.00000,0.00000,0.00,0.54598,0.1928,0.3233,0.1969,0.9036,7.03e-05,39,0.1766,0.2015,0.1906,0.1874,0.0717,0.4014
8,0.54592,0.54592,0.00000,0.00000,0.00,0.54234,0.1996,0.3328,0.2050,0.8845,8.02e-05,39,0.1901,0.2066,0.2061,0.1958,0.0713,0.4281
9,0.54083,0.54083,0.00000,0.00000,0.00,0.53676,0.2123,0.3503,0.2185,0.8816,9.01e-05,39,0.1937,0.2232,0.2207,0.2188,0.0708,0.4774
10,0.53570,0.53570,0.00000,0.00000,0.00,0.52965,0.2098,0.3469,0.2142,0.9113,1.00e-04,39,0.2048,0.2179,0.2245,0.2077,0.0748,0.5088
11,0.53011,0.53011,0.00000,0.00000,0.05,0.52321,0.2296,0.3734,0.2361,0.8925,1.00e-04,39,0.2176,0.2370,0.2421,0.2342,0.0803,0.5523
12,0.52307,0.52307,0.00000,0.00000,0.10,0.51595,0.2292,0.3729,0.2346,0.9084,1.00e-04,39,0.2228,0.2448,0.2395,0.2280,0.0816,0.5770
13,0.51750,0.51750,0.00000,0.00000,0.15,0.50918,0.2398,0.3869,0.2462,0.9022,1.00e-04,39,0.2243,0.2421,0.2542,0.2349,0.0869,0.5893
14,0.51052,0.51052,0.00000,0.00000,0.20,0.50198,0.2554,0.4068,0.2645,0.8811,1.00e-04,39,0.2483,0.2674,0.2758,0.2570,0.0863,0.6224
15,0.50284,0.50284,0.00000,0.00000,0.25,0.49250,0.2640,0.4177,0.2719,0.9006,1.00e-04,39,0.2499,0.2723,0.2779,0.2537,0.0981,0.6250
16,0.49552,0.49552,0.00000,0.00000,0.30,0.48697,0.2613,0.4143,0.2703,0.8863,1.00e-04,39,0.2507,0.2698,0.2745,0.2540,0.0943,0.6280
17,0.48909,0.48909,0.00000,0.00000,0.35,0.47865,0.2961,0.4569,0.3119,0.8534,1.00e-04,39,0.2842,0.2915,0.3283,0.3035,0.1074,0.6232
18,0.48071,0.48071,0.00000,0.00000,0.40,0.47601,0.2752,0.4316,0.2911,0.8344,1.00e-04,39,0.2504,0.2731,0.3079,0.2848,0.0936,0.6570
19,0.47278,0.47278,0.00000,0.00000,0.45,0.45883,0.3040,0.4662,0.3170,0.8811,1.00e-04,39,0.3098,0.3128,0.3333,0.3070,0.1062,0.6638
20,0.46460,0.46460,0.00000,0.00000,0.50,0.45427,0.3151,0.4791,0.3357,0.8366,1.00e-04,39,0.3065,0.3336,0.3444,0.3197,0.1135,0.6520
