epoch,train_loss,train_seg,train_profile,train_trace,ramp,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage,val_iou_intersecting_conjugate
1,0.58641,0.58641,0.00000,0.00000,0.00,0.57968,0.0980,0.1785,0.0998,0.8456,1.09e-05,39,0.0757,0.0835,0.0870,0.0826,0.0474,0.2318
2,0.57584,0.57584,0.00000,0.00000,0.00,0.56939,0.1545,0.2676,0.1589,0.8465,2.08e-05,33,0.1352,0.1543,0.1499,0.1498,0.0655,0.3010
3,0.56809,0.56809,0.00000,0.00000,0.00,0.56306,0.1751,0.2981,0.1798,0.8721,3.07e-05,33,0.1604,0.1839,0.1783,0.1815,0.0660,0.3383
4,0.56331,0.56331,0.00000,0.00000,0.00,0.55941,0.1846,0.3116,0.1896,0.8745,4.06e-05,33,0.1733,0.1954,0.1879,0.1932,0.0679,0.3580
5,0.55943,0.55943,0.00000,0.00000,0.00,0.55656,0.1883,0.3169,0.1935,0.8742,5.05e-05,33,0.1721,0.1955,0.1961,0.1896,0.0683,0.3630
6,0.55574,0.55574,0.00000,0.00000,0.00,0.55199,0.1975,0.3299,0.2029,0.8821,6.04e-05,33,0.1860,0.2081,0.2052,0.2063,0.0701,0.3818
7,0.55148,0.55148,0.00000,0.00000,0.00,0.54732,0.1865,0.3144,0.1899,0.9125,7.03e-05,33,0.1757,0.2027,0.1933,0.1957,0.0667,0.3959
8,0.54728,0.54728,0.00000,0.00000,0.00,0.54373,0.1967,0.3287,0.2019,0.8830,8.02e-05,33,0.1863,0.2002,0.1994,0.1942,0.0703,0.4310
9,0.54242,0.54242,0.00000,0.00000,0.00,0.53816,0.2125,0.3504,0.2188,0.8794,9.01e-05,33,0.2004,0.2181,0.2120,0.2142,0.0702,0.4882
10,0.53724,0.53724,0.00000,0.00000,0.00,0.53134,0.2171,0.3567,0.2223,0.9027,1.00e-04,33,0.2137,0.2240,0.2297,0.2193,0.0759,0.5091
