epoch,train_loss,train_seg,train_profile,train_trace,ramp,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_fault_none,val_iou_fault_sparse,val_iou_fault_dense
1,0.55398,0.55398,0.00000,0.00000,0.00,0.52977,0.1374,0.2415,0.1462,0.6951,1.09e-05,138,0.0009,0.0315,0.1733
2,0.54001,0.54001,0.00000,0.00000,0.00,0.51652,0.1713,0.2926,0.1882,0.6566,2.08e-05,133,0.0013,0.0411,0.2138
3,0.53098,0.53098,0.00000,0.00000,0.00,0.50854,0.2037,0.3385,0.2324,0.6225,3.07e-05,132,0.0019,0.0538,0.2447
4,0.52287,0.52287,0.00000,0.00000,0.00,0.50150,0.2139,0.3524,0.2444,0.6317,4.06e-05,130,0.0014,0.0587,0.2527
5,0.51450,0.51450,0.00000,0.00000,0.00,0.48695,0.2346,0.3801,0.2613,0.6966,5.05e-05,133,0.0022,0.0644,0.2772
6,0.50443,0.50443,0.00000,0.00000,0.00,0.46843,0.2805,0.4381,0.3128,0.7308,6.04e-05,133,0.0019,0.0864,0.3182
7,0.49342,0.49342,0.00000,0.00000,0.00,0.46051,0.2985,0.4597,0.3556,0.6502,7.03e-05,131,0.0016,0.1069,0.3270
8,0.47966,0.47966,0.00000,0.00000,0.00,0.44773,0.3093,0.4725,0.3731,0.6440,8.02e-05,130,0.0012,0.1192,0.3394
9,0.46634,0.46634,0.00000,0.00000,0.00,0.43828,0.2970,0.4580,0.3447,0.6822,9.01e-05,131,0.0011,0.1088,0.3297
10,0.45282,0.45282,0.00000,0.00000,0.00,0.42499,0.3149,0.4789,0.3855,0.6320,1.00e-04,130,0.0021,0.1148,0.3420
11,0.43891,0.43891,0.00000,0.00000,0.05,0.41748,0.3209,0.4859,0.4095,0.5972,1.00e-04,130,0.0028,0.1337,0.3452
12,0.42669,0.42669,0.00000,0.00000,0.10,0.39192,0.3471,0.5153,0.4115,0.6892,9.99e-05,130,0.0026,0.1345,0.3732
13,0.41652,0.41652,0.00000,0.00000,0.15,0.38694,0.3659,0.5358,0.4717,0.6199,9.97e-05,129,0.0010,0.1635,0.3844
14,0.40796,0.40796,0.00000,0.00000,0.20,0.38838,0.3287,0.4947,0.3755,0.7248,9.95e-05,129,0.0029,0.1080,0.3612
15,0.40056,0.40056,0.00000,0.00000,0.25,0.38966,0.3412,0.5088,0.4097,0.6712,9.92e-05,130,0.0027,0.1353,0.3646
16,0.39487,0.39487,0.00000,0.00000,0.30,0.37489,0.3782,0.5488,0.5057,0.5999,9.89e-05,130,0.0011,0.1790,0.3934
17,0.38824,0.38824,0.00000,0.00000,0.35,0.37341,0.3643,0.5340,0.4614,0.6338,9.85e-05,129,0.0022,0.1710,0.3822
18,0.38235,0.38235,0.00000,0.00000,0.40,0.36148,0.3931,0.5644,0.4827,0.6793,9.81e-05,130,0.0046,0.1888,0.4095
19,0.37870,0.37870,0.00000,0.00000,0.45,0.36549,0.3755,0.5460,0.4683,0.6546,9.76e-05,130,0.0041,0.1794,0.3936
20,0.37716,0.37716,0.00000,0.00000,0.50,0.36280,0.3873,0.5584,0.4964,0.6381,9.70e-05,130,0.0027,0.1887,0.4035
21,0.37262,0.37262,0.00000,0.00000,0.55,0.35947,0.3794,0.5501,0.4440,0.7229,9.64e-05,130,0.0018,0.1507,0.4003
22,0.36830,0.36830,0.00000,0.00000,0.60,0.37240,0.3711,0.5413,0.4773,0.6251,9.57e-05,130,0.0011,0.1732,0.3882
23,0.36676,0.36676,0.00000,0.00000,0.65,0.36962,0.3530,0.5218,0.4094,0.7195,9.49e-05,130,0.0015,0.1328,0.3739
24,0.36288,0.36288,0.00000,0.00000,0.70,0.37226,0.3788,0.5495,0.5142,0.5900,9.42e-05,130,0.0055,0.2052,0.3896
25,0.36169,0.36169,0.00000,0.00000,0.75,0.37687,0.3652,0.5350,0.4849,0.5967,9.33e-05,130,0.0020,0.1619,0.3785
26,0.35719,0.35719,0.00000,0.00000,0.80,0.37998,0.3637,0.5334,0.4686,0.6192,9.24e-05,131,0.0024,0.1678,0.3799
27,0.35588,0.35588,0.00000,0.00000,0.85,0.36224,0.3922,0.5634,0.5091,0.6306,9.15e-05,130,0.0009,0.1971,0.4053
28,0.35401,0.35401,0.00000,0.00000,0.90,0.37556,0.3656,0.5354,0.4604,0.6397,9.05e-05,130,0.0015,0.1801,0.3770
29,0.35133,0.35133,0.00000,0.00000,0.95,0.35208,0.3993,0.5707,0.4951,0.6735,8.94e-05,130,0.0022,0.1890,0.4150
30,0.34921,0.34921,0.00000,0.00000,1.00,0.36020,0.3938,0.5651,0.4876,0.6718,8.83e-05,129,0.0044,0.1900,0.4076
31,0.34763,0.34763,0.00000,0.00000,1.00,0.37546,0.3786,0.5493,0.4831,0.6364,8.72e-05,130,0.0024,0.1638,0.3895
32,0.34410,0.34410,0.00000,0.00000,1.00,0.35443,0.3894,0.5605,0.4605,0.7161,8.60e-05,130,0.0038,0.1558,0.4078
33,0.34314,0.34314,0.00000,0.00000,1.00,0.37047,0.3838,0.5547,0.4980,0.6260,8.47e-05,130,0.0054,0.1792,0.3970
34,0.33942,0.33942,0.00000,0.00000,1.00,0.36745,0.3769,0.5475,0.4581,0.6803,8.35e-05,137,0.0061,0.1644,0.3919
35,0.33736,0.33736,0.00000,0.00000,1.00,0.36494,0.3873,0.5583,0.4874,0.6534,8.22e-05,131,0.0011,0.1556,0.4019
36,0.33501,0.33501,0.00000,0.00000,1.00,0.36261,0.3904,0.5616,0.4932,0.6519,8.08e-05,131,0.0026,0.1739,0.4036
37,0.33341,0.33341,0.00000,0.00000,1.00,0.35206,0.4042,0.5757,0.5009,0.6768,7.94e-05,131,0.0061,0.1778,0.4206
38,0.33142,0.33142,0.00000,0.00000,1.00,0.36829,0.3828,0.5536,0.4942,0.6293,7.80e-05,131,0.0043,0.1866,0.3941
39,0.32897,0.32897,0.00000,0.00000,1.00,0.37567,0.3707,0.5409,0.4608,0.6547,7.65e-05,130,0.0029,0.1524,0.3829
40,0.32697,0.32697,0.00000,0.00000,1.00,0.35563,0.4017,0.5731,0.5008,0.6699,7.50e-05,134,0.0068,0.1890,0.4150
41,0.32399,0.32399,0.00000,0.00000,1.00,0.35953,0.4145,0.5861,0.5592,0.6157,7.35e-05,130,0.0069,0.2113,0.4241
42,0.32189,0.32189,0.00000,0.00000,1.00,0.36258,0.3942,0.5655,0.4977,0.6546,7.19e-05,130,0.0045,0.1517,0.4092
43,0.32079,0.32079,0.00000,0.00000,1.00,0.37764,0.3844,0.5554,0.5212,0.5943,7.04e-05,130,0.0035,0.1844,0.3950
44,0.31918,0.31918,0.00000,0.00000,1.00,0.35164,0.4081,0.5797,0.4907,0.7080,6.88e-05,132,0.0039,0.1787,0.4216
45,0.31733,0.31733,0.00000,0.00000,1.00,0.36901,0.3894,0.5605,0.5084,0.6247,6.71e-05,133,0.0041,0.1731,0.4019
46,0.31566,0.31566,0.00000,0.00000,1.00,0.36771,0.3956,0.5669,0.5402,0.5963,6.55e-05,133,0.0062,0.1801,0.4060
47,0.31030,0.31030,0.00000,0.00000,1.00,0.36992,0.3927,0.5639,0.5015,0.6441,6.38e-05,131,0.0094,0.1835,0.4023
48,0.31072,0.31072,0.00000,0.00000,1.00,0.36976,0.3893,0.5604,0.5327,0.5912,6.21e-05,130,0.0074,0.1754,0.3996
49,0.30826,0.30826,0.00000,0.00000,1.00,0.35226,0.4152,0.5868,0.5241,0.6665,6.04e-05,130,0.0058,0.1738,0.4284
50,0.30474,0.30474,0.00000,0.00000,1.00,0.36615,0.4023,0.5738,0.5211,0.6384,5.87e-05,130,0.0093,0.1558,0.4150
51,0.30461,0.30461,0.00000,0.00000,1.00,0.35389,0.4137,0.5853,0.5210,0.6677,5.70e-05,132,0.0066,0.1767,0.4266
52,0.30111,0.30111,0.00000,0.00000,1.00,0.37545,0.3931,0.5643,0.5344,0.5979,5.53e-05,132,0.0129,0.1568,0.4026
53,0.29871,0.29871,0.00000,0.00000,1.00,0.35042,0.4152,0.5868,0.5201,0.6731,5.35e-05,132,0.0095,0.1846,0.4263
54,0.29624,0.29624,0.00000,0.00000,1.00,0.35861,0.4119,0.5834,0.5383,0.6368,5.18e-05,129,0.0096,0.1706,0.4241
55,0.29617,0.29617,0.00000,0.00000,1.00,0.37152,0.3964,0.5677,0.5246,0.6186,5.01e-05,131,0.0070,0.1558,0.4072
56,0.29298,0.29298,0.00000,0.00000,1.00,0.37032,0.4013,0.5728,0.5396,0.6103,4.83e-05,131,0.0085,0.1607,0.4117
57,0.29110,0.29110,0.00000,0.00000,1.00,0.36944,0.3972,0.5685,0.5283,0.6154,4.66e-05,132,0.0046,0.1578,0.4078
58,0.29008,0.29008,0.00000,0.00000,1.00,0.36125,0.4130,0.5845,0.5442,0.6314,4.48e-05,130,0.0049,0.1708,0.4245
59,0.28703,0.28703,0.00000,0.00000,1.00,0.35188,0.4197,0.5912,0.5199,0.6852,4.31e-05,131,0.0080,0.1660,0.4316
60,0.28633,0.28633,0.00000,0.00000,1.00,0.35861,0.4160,0.5876,0.5398,0.6446,4.14e-05,132,0.0057,0.1728,0.4277
61,0.28383,0.28383,0.00000,0.00000,1.00,0.36709,0.3983,0.5697,0.5202,0.6295,3.97e-05,130,0.0086,0.1625,0.4089
62,0.28347,0.28347,0.00000,0.00000,1.00,0.36904,0.3964,0.5678,0.5164,0.6305,3.80e-05,129,0.0082,0.1405,0.4100
63,0.28086,0.28086,0.00000,0.00000,1.00,0.36326,0.4115,0.5830,0.5478,0.6231,3.63e-05,129,0.0069,0.1539,0.4240
64,0.27981,0.27981,0.00000,0.00000,1.00,0.36033,0.4182,0.5898,0.5537,0.6310,3.46e-05,130,0.0072,0.1623,0.4304
65,0.27749,0.27749,0.00000,0.00000,1.00,0.36490,0.4066,0.5781,0.5362,0.6271,3.30e-05,130,0.0065,0.1549,0.4178
66,0.27647,0.27647,0.00000,0.00000,1.00,0.37303,0.3952,0.5665,0.5312,0.6068,3.13e-05,130,0.0082,0.1477,0.4074
67,0.27531,0.27531,0.00000,0.00000,1.00,0.36440,0.4069,0.5784,0.5356,0.6287,2.97e-05,130,0.0119,0.1715,0.4171
68,0.27326,0.27326,0.00000,0.00000,1.00,0.35812,0.4093,0.5808,0.5259,0.6486,2.82e-05,130,0.0092,0.1704,0.4206
69,0.27355,0.27355,0.00000,0.00000,1.00,0.36773,0.3963,0.5676,0.5195,0.6256,2.66e-05,129,0.0085,0.1568,0.4076
70,0.27217,0.27217,0.00000,0.00000,1.00,0.37775,0.3941,0.5654,0.5506,0.5810,2.51e-05,129,0.0067,0.1437,0.4054
71,0.27026,0.27026,0.00000,0.00000,1.00,0.36960,0.4029,0.5744,0.5344,0.6208,2.36e-05,129,0.0112,0.1535,0.4142
