epoch,train_loss,train_seg,train_profile,train_trace,ramp,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_fault_none,val_iou_fault_sparse,val_iou_fault_dense
1,0.55087,0.55087,0.00000,0.00000,0.00,0.52073,0.1614,0.2780,0.1707,0.7487,1.09e-05,249,0.0013,0.0344,0.2055
2,0.53567,0.53567,0.00000,0.00000,0.00,0.50840,0.1861,0.3138,0.1969,0.7733,2.08e-05,92,0.0016,0.0426,0.2344
3,0.52791,0.52791,0.00000,0.00000,0.00,0.50415,0.1888,0.3177,0.2018,0.7464,3.07e-05,92,0.0013,0.0420,0.2346
4,0.52067,0.52067,0.00000,0.00000,0.00,0.49537,0.2093,0.3461,0.2239,0.7621,4.06e-05,92,0.0019,0.0505,0.2580
5,0.51226,0.51226,0.00000,0.00000,0.00,0.47996,0.2383,0.3849,0.2549,0.7854,5.05e-05,92,0.0022,0.0600,0.2882
6,0.50278,0.50278,0.00000,0.00000,0.00,0.46442,0.2674,0.4219,0.2856,0.8069,6.04e-05,92,0.0027,0.0751,0.3158
7,0.49331,0.49331,0.00000,0.00000,0.00,0.46161,0.2964,0.4573,0.3418,0.6908,7.03e-05,92,0.0031,0.1093,0.3291
8,0.48193,0.48193,0.00000,0.00000,0.00,0.44912,0.3017,0.4635,0.3437,0.7117,8.02e-05,92,0.0041,0.1011,0.3357
9,0.47145,0.47145,0.00000,0.00000,0.00,0.43670,0.3019,0.4638,0.3426,0.7176,9.01e-05,92,0.0026,0.0990,0.3403
10,0.46057,0.46057,0.00000,0.00000,0.00,0.42730,0.3079,0.4708,0.3541,0.7022,1.00e-04,92,0.0032,0.0938,0.3456
11,0.44947,0.44947,0.00000,0.00000,0.05,0.42754,0.3132,0.4770,0.3802,0.6400,1.00e-04,92,0.0042,0.1244,0.3392
12,0.43917,0.43917,0.00000,0.00000,0.10,0.40490,0.3581,0.5274,0.4442,0.6489,9.99e-05,92,0.0082,0.1684,0.3795
13,0.43076,0.43076,0.00000,0.00000,0.15,0.40887,0.3486,0.5170,0.4605,0.5893,9.97e-05,92,0.0056,0.1819,0.3667
14,0.42272,0.42272,0.00000,0.00000,0.20,0.39077,0.3476,0.5159,0.4037,0.7145,9.95e-05,92,0.0030,0.1349,0.3774
15,0.41443,0.41443,0.00000,0.00000,0.25,0.39264,0.3516,0.5202,0.4377,0.6412,9.92e-05,92,0.0041,0.1600,0.3730
16,0.40847,0.40847,0.00000,0.00000,0.30,0.38850,0.3581,0.5273,0.4525,0.6318,9.89e-05,92,0.0050,0.1571,0.3780
17,0.40131,0.40131,0.00000,0.00000,0.35,0.37540,0.3653,0.5351,0.4347,0.6958,9.85e-05,93,0.0043,0.1513,0.3896
18,0.39526,0.39526,0.00000,0.00000,0.40,0.39140,0.3577,0.5269,0.4904,0.5694,9.81e-05,92,0.0027,0.1752,0.3728
19,0.39062,0.39062,0.00000,0.00000,0.45,0.37915,0.3581,0.5274,0.4370,0.6649,9.76e-05,94,0.0052,0.1495,0.3794
20,0.38589,0.38589,0.00000,0.00000,0.50,0.38906,0.3526,0.5214,0.4715,0.5830,9.70e-05,92,0.0044,0.1585,0.3677
21,0.38251,0.38251,0.00000,0.00000,0.55,0.37743,0.3613,0.5308,0.4483,0.6504,9.64e-05,92,0.0045,0.1469,0.3821
22,0.37820,0.37820,0.00000,0.00000,0.60,0.37912,0.3502,0.5187,0.4264,0.6619,9.57e-05,93,0.0054,0.1336,0.3743
23,0.37411,0.37411,0.00000,0.00000,0.65,0.37778,0.3428,0.5105,0.3938,0.7257,9.49e-05,93,0.0036,0.1285,0.3680
24,0.37023,0.37023,0.00000,0.00000,0.70,0.38324,0.3637,0.5334,0.4972,0.5753,9.42e-05,92,0.0073,0.1909,0.3764
