epoch,train_loss,train_seg,train_profile,train_trace,ramp,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage
1,0.57903,0.57903,0.00000,0.00000,0.00,0.56524,0.0930,0.1702,0.0937,0.9244,1.09e-05,74,0.1075,0.0798,0.1038,0.1071,0.0682
2,0.55778,0.55778,0.00000,0.00000,0.00,0.54565,0.2234,0.3652,0.2305,0.8783,2.08e-05,62,0.2474,0.2200,0.2445,0.2343,0.1672
3,0.54329,0.54329,0.00000,0.00000,0.00,0.53630,0.2621,0.4153,0.2714,0.8843,3.07e-05,62,0.2945,0.2567,0.2867,0.2768,0.1918
4,0.53387,0.53387,0.00000,0.00000,0.00,0.52693,0.3055,0.4680,0.3147,0.9123,4.06e-05,62,0.3464,0.2870,0.3260,0.3264,0.2331
5,0.52589,0.52589,0.00000,0.00000,0.00,0.51943,0.3343,0.5010,0.3439,0.9223,5.05e-05,62,0.3851,0.3113,0.3553,0.3529,0.2583
6,0.51813,0.51813,0.00000,0.00000,0.00,0.51139,0.3867,0.5577,0.3989,0.9268,6.04e-05,62,0.4516,0.3599,0.4099,0.4135,0.2917
7,0.51015,0.51015,0.00000,0.00000,0.00,0.50276,0.4380,0.6092,0.4540,0.9256,7.03e-05,62,0.5179,0.4093,0.4587,0.4626,0.3334
8,0.50239,0.50239,0.00000,0.00000,0.00,0.49348,0.4609,0.6310,0.4767,0.9332,8.02e-05,62,0.5474,0.4214,0.4713,0.4874,0.3648
9,0.49289,0.49289,0.00000,0.00000,0.00,0.48351,0.5025,0.6689,0.5230,0.9276,9.01e-05,62,0.6078,0.4602,0.5206,0.5328,0.3840
10,0.48208,0.48208,0.00000,0.00000,0.00,0.47212,0.4996,0.6663,0.5192,0.9296,1.00e-04,62,0.6000,0.4635,0.5137,0.5327,0.3800
11,0.46752,0.46752,0.00000,0.00000,0.05,0.45593,0.5513,0.7107,0.5754,0.9292,1.00e-04,62,0.6584,0.5121,0.5616,0.5867,0.4258
12,0.45451,0.45451,0.00000,0.00000,0.10,0.44118,0.5668,0.7235,0.5925,0.9291,1.00e-04,62,0.6645,0.5252,0.5757,0.5965,0.4541
13,0.43699,0.43699,0.00000,0.00000,0.15,0.42398,0.6162,0.7626,0.6494,0.9235,9.99e-05,62,0.7219,0.5857,0.6199,0.6458,0.4911
14,0.42051,0.42051,0.00000,0.00000,0.20,0.40789,0.6216,0.7666,0.6568,0.9205,9.99e-05,62,0.7311,0.5856,0.6311,0.6582,0.4842
15,0.40447,0.40447,0.00000,0.00000,0.25,0.38926,0.6380,0.7790,0.6721,0.9263,9.98e-05,62,0.7386,0.6075,0.6398,0.6672,0.5175
16,0.38600,0.38600,0.00000,0.00000,0.30,0.36964,0.6561,0.7924,0.6888,0.9326,9.98e-05,62,0.7618,0.6226,0.6604,0.6874,0.5293
17,0.36948,0.36948,0.00000,0.00000,0.35,0.35329,0.6513,0.7889,0.6843,0.9312,9.97e-05,62,0.7593,0.6179,0.6569,0.6839,0.5214
18,0.35250,0.35250,0.00000,0.00000,0.40,0.33682,0.6697,0.8022,0.7106,0.9208,9.96e-05,62,0.7721,0.6389,0.6721,0.6937,0.5515
19,0.33375,0.33375,0.00000,0.00000,0.45,0.31753,0.6909,0.8172,0.7332,0.9228,9.94e-05,62,0.8002,0.6558,0.6934,0.7160,0.5684
20,0.31783,0.31783,0.00000,0.00000,0.50,0.30344,0.6945,0.8197,0.7434,0.9134,9.93e-05,62,0.7981,0.6705,0.6998,0.7199,0.5641
21,0.30265,0.30265,0.00000,0.00000,0.55,0.28792,0.7061,0.8277,0.7612,0.9069,9.92e-05,62,0.8005,0.6842,0.7087,0.7333,0.5818
22,0.28957,0.28957,0.00000,0.00000,0.60,0.27153,0.7204,0.8375,0.7760,0.9097,9.90e-05,62,0.8161,0.6956,0.7255,0.7515,0.5897
23,0.27289,0.27289,0.00000,0.00000,0.65,0.25868,0.7236,0.8396,0.7814,0.9073,9.89e-05,62,0.8275,0.6924,0.7147,0.7505,0.6071
24,0.25823,0.25823,0.00000,0.00000,0.70,0.24219,0.7395,0.8502,0.7963,0.9121,9.87e-05,62,0.8360,0.7136,0.7318,0.7687,0.6224
25,0.24632,0.24632,0.00000,0.00000,0.75,0.23567,0.7223,0.8388,0.7826,0.9036,9.85e-05,62,0.8189,0.6971,0.7189,0.7496,0.6027
26,0.23897,0.23897,0.00000,0.00000,0.80,0.21884,0.7535,0.8594,0.8160,0.9078,9.83e-05,62,0.8580,0.7243,0.7443,0.7774,0.6381
27,0.22328,0.22328,0.00000,0.00000,0.85,0.20650,0.7663,0.8677,0.8307,0.9082,9.80e-05,62,0.8692,0.7398,0.7596,0.7926,0.6452
28,0.21578,0.21578,0.00000,0.00000,0.90,0.19694,0.7673,0.8683,0.8310,0.9092,9.78e-05,62,0.8653,0.7411,0.7587,0.7931,0.6526
29,0.20385,0.20385,0.00000,0.00000,0.95,0.18811,0.7719,0.8712,0.8392,0.9058,9.76e-05,62,0.8656,0.7520,0.7653,0.7927,0.6586
30,0.19379,0.19379,0.00000,0.00000,1.00,0.17919,0.7801,0.8764,0.8501,0.9045,9.73e-05,62,0.8752,0.7596,0.7728,0.8056,0.6605
31,0.18843,0.18843,0.00000,0.00000,1.00,0.17676,0.7668,0.8680,0.8402,0.8977,9.70e-05,62,0.8700,0.7319,0.7608,0.7949,0.6468
32,0.17871,0.17871,0.00000,0.00000,1.00,0.16454,0.7851,0.8796,0.8557,0.9049,9.67e-05,62,0.8801,0.7658,0.7818,0.8055,0.6669
33,0.17631,0.17631,0.00000,0.00000,1.00,0.16744,0.7605,0.8639,0.8452,0.8835,9.64e-05,62,0.8452,0.7432,0.7487,0.7784,0.6637
34,0.16696,0.16696,0.00000,0.00000,1.00,0.15738,0.7751,0.8733,0.8537,0.8938,9.61e-05,62,0.8573,0.7567,0.7711,0.8035,0.6594
35,0.15988,0.15988,0.00000,0.00000,1.00,0.14996,0.7846,0.8793,0.8639,0.8954,9.58e-05,62,0.8753,0.7708,0.7865,0.8070,0.6580
36,0.15557,0.15557,0.00000,0.00000,1.00,0.14388,0.7867,0.8806,0.8581,0.9043,9.55e-05,62,0.8811,0.7654,0.7801,0.8111,0.6692
37,0.15006,0.15006,0.00000,0.00000,1.00,0.13887,0.7907,0.8831,0.8668,0.9001,9.51e-05,62,0.8784,0.7773,0.7831,0.8139,0.6755
38,0.14744,0.14744,0.00000,0.00000,1.00,0.14390,0.7664,0.8677,0.8536,0.8824,9.47e-05,62,0.8333,0.7543,0.7670,0.7884,0.6652
39,0.14300,0.14300,0.00000,0.00000,1.00,0.13007,0.7966,0.8868,0.8734,0.9005,9.44e-05,62,0.8809,0.7847,0.7928,0.8211,0.6779
40,0.13748,0.13748,0.00000,0.00000,1.00,0.12807,0.7916,0.8837,0.8655,0.9026,9.40e-05,62,0.8813,0.7722,0.7821,0.8104,0.6863
41,0.13145,0.13145,0.00000,0.00000,1.00,0.12181,0.8027,0.8906,0.8777,0.9038,9.36e-05,62,0.8912,0.7841,0.7977,0.8239,0.6905
42,0.13243,0.13243,0.00000,0.00000,1.00,0.12008,0.8016,0.8899,0.8812,0.8988,9.32e-05,62,0.8950,0.7882,0.7929,0.8223,0.6838
43,0.12747,0.12747,0.00000,0.00000,1.00,0.12187,0.7889,0.8820,0.8725,0.8917,9.27e-05,62,0.8850,0.7749,0.7766,0.8061,0.6772
44,0.12456,0.12456,0.00000,0.00000,1.00,0.11139,0.8124,0.8965,0.8880,0.9051,9.23e-05,62,0.9022,0.7954,0.8056,0.8352,0.6970
45,0.12225,0.12225,0.00000,0.00000,1.00,0.11134,0.8075,0.8935,0.8922,0.8948,9.19e-05,62,0.8965,0.7905,0.8037,0.8265,0.6940
46,0.11814,0.11814,0.00000,0.00000,1.00,0.10956,0.8051,0.8920,0.8791,0.9053,9.14e-05,62,0.8975,0.7885,0.7980,0.8268,0.6886
47,0.11539,0.11539,0.00000,0.00000,1.00,0.10658,0.8082,0.8939,0.8817,0.9064,9.09e-05,62,0.8961,0.7881,0.8009,0.8312,0.6975
48,0.11526,0.11526,0.00000,0.00000,1.00,0.10131,0.8171,0.8994,0.8869,0.9122,9.05e-05,62,0.9038,0.7982,0.8104,0.8371,0.7108
49,0.10996,0.10996,0.00000,0.00000,1.00,0.10760,0.7976,0.8874,0.8826,0.8923,9.00e-05,62,0.8864,0.7855,0.7935,0.8185,0.6787
50,0.11038,0.11038,0.00000,0.00000,1.00,0.09849,0.8175,0.8996,0.8951,0.9041,8.95e-05,62,0.9075,0.7995,0.8107,0.8392,0.7039
51,0.10973,0.10973,0.00000,0.00000,1.00,0.09841,0.8131,0.8969,0.8933,0.9007,8.90e-05,62,0.8875,0.8004,0.8052,0.8367,0.7107
52,0.10394,0.10394,0.00000,0.00000,1.00,0.09850,0.8105,0.8953,0.8894,0.9014,8.84e-05,62,0.9033,0.7856,0.8040,0.8332,0.6982
53,0.10542,0.10542,0.00000,0.00000,1.00,0.09406,0.8186,0.9003,0.8983,0.9023,8.79e-05,62,0.9021,0.8037,0.8112,0.8389,0.7117
54,0.10349,0.10349,0.00000,0.00000,1.00,0.09596,0.8116,0.8960,0.8963,0.8958,8.74e-05,62,0.8970,0.7920,0.8083,0.8320,0.7013
55,0.10208,0.10208,0.00000,0.00000,1.00,0.09207,0.8179,0.8998,0.8957,0.9040,8.68e-05,62,0.8969,0.8034,0.8105,0.8420,0.7098
56,0.09696,0.09696,0.00000,0.00000,1.00,0.08974,0.8219,0.9023,0.9061,0.8985,8.62e-05,62,0.9019,0.8044,0.8144,0.8455,0.7166
