epoch,train_loss,train_seg,train_profile,train_trace,ramp,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage
1,0.54426,0.54426,0.00000,0.00000,0.00,0.51595,0.1246,0.2216,0.1270,0.8707,1.09e-05,72,0.1431,0.1144,0.1361,0.1347,0.0930
2,0.49954,0.49954,0.00000,0.00000,0.00,0.47596,0.2607,0.4135,0.2772,0.8142,2.08e-05,61,0.2857,0.2652,0.2827,0.2675,0.1955
3,0.47022,0.47022,0.00000,0.00000,0.00,0.45427,0.3066,0.4693,0.3267,0.8332,3.07e-05,61,0.3459,0.3074,0.3318,0.3193,0.2214
4,0.44772,0.44772,0.00000,0.00000,0.00,0.42976,0.3841,0.5550,0.4085,0.8652,4.06e-05,62,0.4379,0.3744,0.4050,0.3994,0.2916
5,0.42627,0.42627,0.00000,0.00000,0.00,0.40823,0.4377,0.6089,0.4662,0.8776,5.05e-05,62,0.5147,0.4182,0.4546,0.4549,0.3333
6,0.40516,0.40516,0.00000,0.00000,0.00,0.38519,0.5115,0.6768,0.5515,0.8758,6.04e-05,62,0.6121,0.4923,0.5265,0.5326,0.3824
7,0.38283,0.38283,0.00000,0.00000,0.00,0.36326,0.5564,0.7150,0.6083,0.8670,7.03e-05,62,0.6722,0.5341,0.5684,0.5728,0.4198
8,0.36176,0.36176,0.00000,0.00000,0.00,0.33772,0.5862,0.7391,0.6356,0.8830,8.02e-05,62,0.6993,0.5550,0.5847,0.6093,0.4620
9,0.33590,0.33590,0.00000,0.00000,0.00,0.30948,0.6252,0.7694,0.6945,0.8624,9.01e-05,62,0.7434,0.6017,0.6247,0.6425,0.4919
10,0.30790,0.30790,0.00000,0.00000,0.00,0.28572,0.6133,0.7603,0.6902,0.8462,1.00e-04,62,0.7155,0.5879,0.6192,0.6362,0.4839
11,0.27669,0.27669,0.00000,0.00000,0.05,0.25179,0.6504,0.7882,0.7216,0.8683,1.00e-04,62,0.7670,0.6187,0.6477,0.6681,0.5262
12,0.24883,0.24883,0.00000,0.00000,0.10,0.22695,0.6710,0.8031,0.7549,0.8579,1.00e-04,62,0.7720,0.6395,0.6610,0.6958,0.5590
13,0.22453,0.22453,0.00000,0.00000,0.15,0.20085,0.6966,0.8212,0.7862,0.8594,9.99e-05,62,0.8218,0.6784,0.6904,0.7158,0.5509
14,0.20124,0.20124,0.00000,0.00000,0.20,0.18688,0.6899,0.8165,0.7914,0.8432,9.99e-05,62,0.8133,0.6799,0.6995,0.7167,0.5144
15,0.18696,0.18696,0.00000,0.00000,0.25,0.16558,0.7150,0.8338,0.8146,0.8541,9.98e-05,62,0.8364,0.6782,0.6953,0.7372,0.5981
16,0.16697,0.16697,0.00000,0.00000,0.30,0.14731,0.7393,0.8501,0.8336,0.8674,9.98e-05,62,0.8547,0.7161,0.7286,0.7594,0.6098
17,0.16009,0.16009,0.00000,0.00000,0.35,0.14296,0.7204,0.8375,0.8157,0.8605,9.97e-05,62,0.8360,0.6998,0.7060,0.7310,0.6043
18,0.15007,0.15007,0.00000,0.00000,0.40,0.12989,0.7411,0.8513,0.8336,0.8699,9.96e-05,62,0.8592,0.7222,0.7324,0.7628,0.6007
19,0.13415,0.13415,0.00000,0.00000,0.45,0.12043,0.7468,0.8550,0.8494,0.8608,9.94e-05,62,0.8504,0.7288,0.7385,0.7659,0.6236
20,0.12952,0.12952,0.00000,0.00000,0.50,0.11455,0.7453,0.8541,0.8433,0.8651,9.93e-05,62,0.8465,0.7182,0.7338,0.7685,0.6302
21,0.12443,0.12443,0.00000,0.00000,0.55,0.10890,0.7480,0.8558,0.8507,0.8609,9.92e-05,62,0.8444,0.7302,0.7401,0.7674,0.6297
22,0.11579,0.11579,0.00000,0.00000,0.60,0.10057,0.7629,0.8655,0.8605,0.8706,9.90e-05,62,0.8646,0.7380,0.7550,0.7848,0.6434
23,0.11069,0.11069,0.00000,0.00000,0.65,0.09975,0.7585,0.8627,0.8634,0.8619,9.89e-05,62,0.8677,0.7336,0.7449,0.7790,0.6362
24,0.10323,0.10323,0.00000,0.00000,0.70,0.09175,0.7734,0.8722,0.8776,0.8670,9.87e-05,62,0.8774,0.7478,0.7579,0.7984,0.6536
