epoch,train_loss,train_seg,train_profile,train_trace,ramp,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage
1,0.57903,0.57903,0.00000,0.00000,0.00,0.56523,0.0930,0.1702,0.0937,0.9250,1.09e-05,79,0.1073,0.0797,0.1037,0.1070,0.0684
2,0.55779,0.55779,0.00000,0.00000,0.00,0.54565,0.2239,0.3659,0.2311,0.8778,2.08e-05,67,0.2478,0.2202,0.2451,0.2345,0.1682
3,0.54335,0.54335,0.00000,0.00000,0.00,0.53627,0.2624,0.4157,0.2717,0.8845,3.07e-05,67,0.2940,0.2569,0.2864,0.2768,0.1934
4,0.53388,0.53388,0.00000,0.00000,0.00,0.52689,0.3033,0.4654,0.3121,0.9146,4.06e-05,67,0.3445,0.2864,0.3235,0.3228,0.2314
5,0.52583,0.52583,0.00000,0.00000,0.00,0.51941,0.3344,0.5012,0.3440,0.9228,5.05e-05,67,0.3852,0.3102,0.3558,0.3541,0.2581
6,0.51804,0.51804,0.00000,0.00000,0.00,0.51181,0.3890,0.5601,0.4016,0.9254,6.04e-05,67,0.4528,0.3607,0.4105,0.4144,0.2978
7,0.51026,0.51026,0.00000,0.00000,0.00,0.50289,0.4305,0.6019,0.4453,0.9283,7.03e-05,67,0.5074,0.4029,0.4513,0.4573,0.3261
8,0.50243,0.50243,0.00000,0.00000,0.00,0.49393,0.4539,0.6244,0.4685,0.9355,8.02e-05,67,0.5389,0.4129,0.4618,0.4809,0.3622
9,0.49333,0.49333,0.00000,0.00000,0.00,0.48383,0.4979,0.6648,0.5178,0.9284,9.01e-05,67,0.6027,0.4581,0.5160,0.5276,0.3792
10,0.48257,0.48257,0.00000,0.00000,0.00,0.47190,0.5073,0.6731,0.5270,0.9312,1.00e-04,67,0.6027,0.4743,0.5231,0.5399,0.3881
