epoch,train_loss,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage
1,1.9457,1.8076,0.0798,0.1478,0.0803,0.9300,2.09e-05,121,0.0839,0.0715,0.0861,0.0895,0.0662
2,1.6900,1.6344,0.1111,0.2000,0.1120,0.9326,5.61e-05,116,0.1223,0.1006,0.1209,0.1226,0.0872
3,1.5660,1.5400,0.1418,0.2484,0.1436,0.9190,1.04e-04,114,0.1582,0.1302,0.1579,0.1559,0.1061
4,1.4470,1.4065,0.2013,0.3351,0.2056,0.9055,1.52e-04,115,0.2282,0.1858,0.2277,0.2254,0.1412
5,1.3085,1.2884,0.2336,0.3787,0.2394,0.9062,1.87e-04,115,0.2764,0.2162,0.2620,0.2576,0.1618
6,1.1751,1.1285,0.2657,0.4198,0.2708,0.9328,2.00e-04,114,0.3214,0.2395,0.2909,0.2929,0.1887
7,1.0384,1.0118,0.3391,0.5064,0.3489,0.9232,2.00e-04,110,0.4117,0.3161,0.3640,0.3766,0.2352
8,0.9339,0.9264,0.3591,0.5285,0.3694,0.9280,1.99e-04,111,0.4397,0.3439,0.3943,0.3958,0.2408
9,0.8533,0.8741,0.3894,0.5605,0.4021,0.9248,1.98e-04,113,0.4873,0.3607,0.4175,0.4231,0.2708
10,0.7872,0.8289,0.4373,0.6085,0.4559,0.9146,1.97e-04,115,0.5376,0.4213,0.4732,0.4804,0.2941
11,0.7369,0.7788,0.4308,0.6022,0.4450,0.9311,1.96e-04,116,0.5388,0.4063,0.4569,0.4632,0.3040
12,0.6969,0.7751,0.4716,0.6409,0.4928,0.9164,1.94e-04,115,0.5627,0.4568,0.4958,0.4948,0.3477
13,0.6615,0.7229,0.4676,0.6372,0.4844,0.9308,1.92e-04,115,0.5607,0.4470,0.4932,0.5019,0.3386
14,0.6426,0.7366,0.4607,0.6308,0.4764,0.9333,1.89e-04,116,0.5683,0.4402,0.4983,0.5015,0.3130
15,0.6164,0.7081,0.4814,0.6499,0.4989,0.9319,1.87e-04,112,0.5909,0.4554,0.5107,0.5104,0.3471
16,0.5938,0.6615,0.5120,0.6772,0.5313,0.9338,1.84e-04,115,0.6064,0.4804,0.5301,0.5447,0.3904
17,0.5735,0.6437,0.5567,0.7153,0.5835,0.9238,1.80e-04,115,0.6461,0.5436,0.5777,0.5884,0.4215
18,0.5539,0.6641,0.5459,0.7063,0.5728,0.9209,1.77e-04,116,0.6490,0.5248,0.5570,0.5677,0.4232
19,0.5394,0.6567,0.4744,0.6435,0.4861,0.9518,1.73e-04,114,0.6055,0.4470,0.5141,0.5329,0.3107
20,0.5202,0.6212,0.5534,0.7125,0.5758,0.9345,1.69e-04,117,0.6765,0.5453,0.5840,0.5991,0.3841
21,0.5090,0.6124,0.5193,0.6836,0.5356,0.9445,1.64e-04,119,0.6396,0.5002,0.5493,0.5586,0.3669
22,0.4950,0.5820,0.5697,0.7259,0.5928,0.9360,1.60e-04,119,0.6768,0.5517,0.5812,0.6010,0.4343
23,0.4855,0.6008,0.5761,0.7311,0.5999,0.9356,1.55e-04,116,0.7059,0.5443,0.5972,0.6166,0.4213
24,0.4706,0.5902,0.5655,0.7224,0.5868,0.9397,1.50e-04,117,0.6881,0.5412,0.5839,0.5991,0.4183
25,0.4631,0.5542,0.5719,0.7276,0.5916,0.9450,1.45e-04,116,0.6941,0.5660,0.6044,0.6052,0.4081
26,0.4502,0.5506,0.6109,0.7585,0.6373,0.9365,1.40e-04,117,0.7347,0.6068,0.6352,0.6433,0.4453
27,0.4406,0.5663,0.5785,0.7330,0.5987,0.9449,1.34e-04,117,0.7142,0.5436,0.5940,0.6043,0.4400
28,0.4270,0.5404,0.5873,0.7400,0.6077,0.9461,1.29e-04,117,0.7300,0.5780,0.6141,0.6338,0.4075
29,0.4195,0.5557,0.6131,0.7602,0.6398,0.9363,1.23e-04,117,0.7298,0.6092,0.6375,0.6379,0.4574
30,0.4153,0.5232,0.5976,0.7481,0.6178,0.9482,1.17e-04,118,0.7397,0.5808,0.6312,0.6404,0.4205
31,0.4045,0.5406,0.6120,0.7593,0.6353,0.9433,1.12e-04,117,0.7524,0.5903,0.6362,0.6370,0.4533
32,0.3938,0.5259,0.5839,0.7373,0.6012,0.9530,1.06e-04,117,0.7313,0.5729,0.6170,0.6309,0.4002
33,0.3896,0.5251,0.6061,0.7547,0.6276,0.9465,1.00e-04,117,0.7473,0.5962,0.6294,0.6516,0.4281
34,0.3817,0.4856,0.6010,0.7508,0.6179,0.9563,9.42e-05,117,0.7362,0.5940,0.6286,0.6339,0.4335
35,0.3749,0.5496,0.6533,0.7903,0.6850,0.9339,8.84e-05,117,0.7916,0.6495,0.6772,0.6906,0.4726
36,0.3709,0.5264,0.6052,0.7540,0.6261,0.9478,8.26e-05,114,0.7380,0.6023,0.6336,0.6457,0.4266
37,0.3637,0.4850,0.6109,0.7585,0.6299,0.9531,7.69e-05,114,0.7575,0.6000,0.6326,0.6461,0.4396
38,0.3565,0.4961,0.6156,0.7621,0.6350,0.9528,7.13e-05,113,0.7553,0.5949,0.6339,0.6515,0.4538
39,0.3494,0.4988,0.6180,0.7639,0.6382,0.9513,6.58e-05,114,0.7698,0.6161,0.6554,0.6613,0.4248
40,0.3451,0.4973,0.6336,0.7757,0.6563,0.9482,6.04e-05,114,0.7846,0.6252,0.6550,0.6674,0.4563
41,0.3390,0.4978,0.6305,0.7733,0.6531,0.9479,5.51e-05,114,0.7840,0.6338,0.6560,0.6689,0.4420
42,0.3349,0.4875,0.6327,0.7750,0.6538,0.9515,5.00e-05,114,0.7775,0.6184,0.6542,0.6729,0.4577
43,0.3296,0.4997,0.6481,0.7865,0.6736,0.9447,4.50e-05,114,0.7975,0.6390,0.6642,0.6894,0.4696
44,0.3250,0.4819,0.6430,0.7827,0.6655,0.9500,4.03e-05,114,0.7892,0.6248,0.6628,0.6882,0.4658
45,0.3227,0.4581,0.6448,0.7841,0.6655,0.9541,3.57e-05,114,0.7948,0.6390,0.6618,0.6927,0.4598
46,0.3168,0.4716,0.6338,0.7758,0.6530,0.9555,3.14e-05,114,0.7839,0.6297,0.6523,0.6777,0.4513
47,0.3140,0.4933,0.6492,0.7873,0.6724,0.9496,2.72e-05,114,0.7934,0.6442,0.6689,0.6900,0.4678
