epoch,train_loss,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage
1,1.9405,1.7979,0.0834,0.1540,0.0840,0.9299,2.09e-05,183,0.0926,0.0728,0.0889,0.0961,0.0656
2,1.6795,1.6291,0.1475,0.2571,0.1500,0.9006,5.61e-05,181,0.1674,0.1316,0.1705,0.1676,0.1039
3,1.5476,1.5065,0.1720,0.2935,0.1750,0.9092,1.04e-04,182,0.2038,0.1509,0.1909,0.1941,0.1227
4,1.4187,1.3576,0.2312,0.3756,0.2369,0.9065,1.52e-04,185,0.2856,0.1996,0.2649,0.2666,0.1541
5,1.2517,1.1950,0.3213,0.4863,0.3337,0.8959,1.87e-04,180,0.4166,0.2907,0.3571,0.3639,0.2065
6,1.0852,1.0596,0.3872,0.5583,0.4061,0.8927,2.00e-04,185,0.5048,0.3764,0.4318,0.4290,0.2366
7,0.9430,0.9285,0.4245,0.5960,0.4438,0.9071,2.00e-04,182,0.5528,0.4033,0.4690,0.4694,0.2672
8,0.8295,0.8225,0.4554,0.6258,0.4758,0.9140,1.99e-04,181,0.6060,0.4497,0.5154,0.5083,0.2741
9,0.7479,0.7636,0.4616,0.6316,0.4792,0.9262,1.98e-04,183,0.5973,0.4381,0.4982,0.5029,0.3047
10,0.6890,0.7045,0.4998,0.6665,0.5208,0.9253,1.97e-04,183,0.6497,0.4714,0.5287,0.5500,0.3343
11,0.6374,0.6674,0.4995,0.6662,0.5181,0.9330,1.96e-04,180,0.6682,0.4876,0.5512,0.5613,0.3061
12,0.5983,0.6341,0.5550,0.7138,0.5833,0.9197,1.94e-04,179,0.7214,0.5368,0.5958,0.6100,0.3616
13,0.5697,0.6193,0.5341,0.6963,0.5558,0.9318,1.92e-04,180,0.6951,0.5061,0.5743,0.5820,0.3545
14,0.5501,0.6072,0.5975,0.7480,0.6345,0.9110,1.89e-04,181,0.7220,0.6109,0.6367,0.6331,0.4104
15,0.5228,0.6021,0.5184,0.6828,0.5367,0.9382,1.87e-04,179,0.6981,0.5016,0.5765,0.5715,0.3212
16,0.5064,0.5475,0.6096,0.7575,0.6418,0.9240,1.84e-04,181,0.7718,0.5916,0.6392,0.6514,0.4231
17,0.4845,0.5433,0.5752,0.7303,0.5963,0.9420,1.80e-04,181,0.7370,0.5662,0.6084,0.6153,0.3902
18,0.4771,0.5413,0.6027,0.7521,0.6309,0.9311,1.77e-04,182,0.7393,0.5938,0.6277,0.6482,0.4245
