epoch,train_loss,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage
1,1.9479,1.8091,0.0798,0.1478,0.0803,0.9291,2.09e-05,124,0.0838,0.0715,0.0861,0.0893,0.0664
2,1.6915,1.6329,0.1119,0.2012,0.1128,0.9336,5.61e-05,118,0.1224,0.1015,0.1215,0.1233,0.0885
3,1.5675,1.5372,0.1412,0.2474,0.1429,0.9219,1.04e-04,120,0.1575,0.1281,0.1576,0.1568,0.1052
4,1.4486,1.4129,0.1986,0.3314,0.2029,0.9036,1.52e-04,117,0.2273,0.1829,0.2229,0.2247,0.1380
5,1.3115,1.2950,0.2312,0.3755,0.2370,0.9035,1.87e-04,117,0.2757,0.2103,0.2614,0.2549,0.1600
6,1.1796,1.1327,0.2652,0.4192,0.2705,0.9317,2.00e-04,117,0.3205,0.2426,0.2909,0.2927,0.1864
7,1.0451,1.0159,0.3386,0.5059,0.3486,0.9215,2.00e-04,117,0.4087,0.3202,0.3657,0.3744,0.2330
8,0.9403,0.9376,0.3640,0.5337,0.3756,0.9220,1.99e-04,117,0.4439,0.3433,0.3957,0.4005,0.2494
9,0.8597,0.8844,0.3844,0.5554,0.3972,0.9225,1.98e-04,117,0.4788,0.3543,0.4141,0.4250,0.2642
10,0.7931,0.8267,0.4307,0.6021,0.4482,0.9170,1.97e-04,117,0.5312,0.4187,0.4653,0.4714,0.2893
11,0.7431,0.7851,0.4229,0.5944,0.4361,0.9331,1.96e-04,117,0.5371,0.3951,0.4509,0.4643,0.2900
12,0.7020,0.7710,0.4657,0.6355,0.4855,0.9194,1.94e-04,115,0.5605,0.4570,0.4931,0.4895,0.3352
13,0.6678,0.7360,0.4702,0.6397,0.4876,0.9295,1.92e-04,116,0.5615,0.4487,0.4909,0.5031,0.3455
14,0.6468,0.7164,0.4667,0.6364,0.4821,0.9358,1.89e-04,115,0.5738,0.4480,0.5019,0.5059,0.3214
15,0.6195,0.7120,0.4801,0.6487,0.4977,0.9312,1.87e-04,115,0.5906,0.4570,0.5104,0.5121,0.3415
16,0.5999,0.6592,0.5009,0.6674,0.5181,0.9378,1.84e-04,117,0.5949,0.4789,0.5243,0.5373,0.3695
17,0.5797,0.6315,0.5555,0.7143,0.5807,0.9276,1.80e-04,117,0.6390,0.5417,0.5727,0.5880,0.4278
18,0.5589,0.6526,0.5481,0.7081,0.5749,0.9217,1.77e-04,115,0.6474,0.5342,0.5588,0.5708,0.4226
19,0.5473,0.6186,0.4932,0.6606,0.5058,0.9517,1.73e-04,116,0.6133,0.4740,0.5310,0.5431,0.3343
20,0.5286,0.6063,0.5548,0.7137,0.5761,0.9374,1.69e-04,115,0.6677,0.5421,0.5816,0.5963,0.3987
21,0.5171,0.6187,0.5198,0.6841,0.5370,0.9420,1.64e-04,116,0.6291,0.5033,0.5455,0.5551,0.3764
22,0.5020,0.5848,0.5695,0.7257,0.5917,0.9382,1.60e-04,116,0.6797,0.5534,0.5876,0.6038,0.4253
23,0.4929,0.5793,0.5828,0.7364,0.6066,0.9369,1.55e-04,116,0.7019,0.5601,0.6079,0.6238,0.4262
24,0.4794,0.5698,0.5718,0.7276,0.5924,0.9429,1.50e-04,117,0.6855,0.5504,0.5879,0.6054,0.4303
25,0.4706,0.5424,0.5697,0.7259,0.5875,0.9496,1.45e-04,118,0.6969,0.5663,0.6043,0.6065,0.4002
26,0.4599,0.5482,0.6105,0.7581,0.6357,0.9389,1.40e-04,115,0.7356,0.6095,0.6383,0.6433,0.4414
27,0.4504,0.5591,0.5801,0.7343,0.6004,0.9450,1.34e-04,116,0.7141,0.5475,0.5986,0.6120,0.4348
28,0.4377,0.5168,0.5870,0.7397,0.6057,0.9500,1.29e-04,118,0.7363,0.5814,0.6144,0.6358,0.4023
29,0.4299,0.5410,0.6098,0.7576,0.6340,0.9410,1.23e-04,118,0.7206,0.6068,0.6323,0.6370,0.4566
30,0.4237,0.5103,0.6024,0.7519,0.6223,0.9497,1.17e-04,118,0.7442,0.5855,0.6363,0.6438,0.4269
31,0.4133,0.5389,0.6055,0.7543,0.6277,0.9448,1.12e-04,117,0.7480,0.5784,0.6284,0.6353,0.4481
32,0.4082,0.4919,0.5942,0.7454,0.6111,0.9554,1.06e-04,118,0.7340,0.5837,0.6161,0.6323,0.4263
33,0.4007,0.4850,0.6114,0.7589,0.6312,0.9513,1.00e-04,118,0.7498,0.5915,0.6318,0.6577,0.4418
34,0.3910,0.4698,0.6018,0.7514,0.6181,0.9580,9.42e-05,118,0.7287,0.5943,0.6245,0.6346,0.4417
35,0.3856,0.5116,0.6480,0.7864,0.6759,0.9401,8.84e-05,117,0.7902,0.6477,0.6751,0.6844,0.4649
36,0.3820,0.5030,0.6076,0.7559,0.6277,0.9498,8.26e-05,117,0.7346,0.6037,0.6348,0.6500,0.4335
37,0.3752,0.4744,0.6046,0.7536,0.6213,0.9574,7.69e-05,117,0.7484,0.5912,0.6231,0.6422,0.4377
38,0.3698,0.4881,0.6177,0.7637,0.6369,0.9535,7.13e-05,118,0.7559,0.5975,0.6371,0.6542,0.4552
39,0.3623,0.4825,0.6245,0.7689,0.6448,0.9519,6.58e-05,117,0.7709,0.6241,0.6590,0.6677,0.4347
40,0.3574,0.4867,0.6354,0.7770,0.6570,0.9506,6.04e-05,117,0.7835,0.6117,0.6509,0.6716,0.4702
41,0.3520,0.4714,0.6386,0.7795,0.6609,0.9499,5.51e-05,118,0.7881,0.6352,0.6620,0.6781,0.4561
42,0.3470,0.4593,0.6348,0.7766,0.6545,0.9547,5.00e-05,117,0.7761,0.6254,0.6590,0.6774,0.4563
43,0.3431,0.4696,0.6350,0.7768,0.6554,0.9534,4.50e-05,117,0.7823,0.6232,0.6587,0.6787,0.4555
44,0.3392,0.4606,0.6401,0.7805,0.6602,0.9544,4.03e-05,118,0.7802,0.6212,0.6601,0.6849,0.4674
45,0.3368,0.4417,0.6381,0.7790,0.6561,0.9587,3.57e-05,117,0.7887,0.6292,0.6571,0.6887,0.4533
46,0.3323,0.4642,0.6325,0.7749,0.6506,0.9578,3.14e-05,117,0.7763,0.6282,0.6533,0.6793,0.4505
47,0.3277,0.4617,0.6469,0.7856,0.6675,0.9543,2.72e-05,118,0.7911,0.6442,0.6682,0.6899,0.4642
