epoch,train_loss,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage
1,1.8955,1.7306,0.0959,0.1751,0.0969,0.9015,2.09e-05,187,0.1041,0.0871,0.1036,0.1086,0.0750
2,1.6106,1.5601,0.1564,0.2705,0.1595,0.8882,5.61e-05,183,0.1871,0.1383,0.1740,0.1826,0.1066
3,1.4795,1.4573,0.1957,0.3274,0.2012,0.8792,1.04e-04,183,0.2338,0.1720,0.2214,0.2303,0.1299
4,1.3642,1.3354,0.2423,0.3901,0.2504,0.8823,1.52e-04,182,0.2932,0.2162,0.2812,0.2843,0.1550
5,1.2323,1.2066,0.2527,0.4034,0.2592,0.9092,1.87e-04,184,0.3230,0.2135,0.2759,0.2949,0.1726
6,1.0895,1.0364,0.3508,0.5194,0.3634,0.9101,2.00e-04,183,0.4630,0.3234,0.3937,0.3958,0.2181
7,0.9459,0.9676,0.3607,0.5301,0.3746,0.9067,2.00e-04,183,0.4882,0.3342,0.4141,0.4103,0.2162
8,0.8396,0.8558,0.4486,0.6194,0.4719,0.9012,1.99e-04,183,0.5950,0.4291,0.4949,0.5000,0.2800
9,0.7625,0.7792,0.4599,0.6300,0.4807,0.9142,1.98e-04,184,0.6251,0.4359,0.5019,0.5131,0.2879
10,0.7008,0.7427,0.5050,0.6711,0.5323,0.9078,1.97e-04,185,0.6612,0.4803,0.5487,0.5518,0.3272
11,0.6542,0.6887,0.5088,0.6745,0.5325,0.9195,1.96e-04,185,0.6475,0.4934,0.5584,0.5567,0.3315
12,0.6221,0.6752,0.5319,0.6944,0.5581,0.9188,1.94e-04,183,0.6699,0.5123,0.5727,0.5682,0.3632
13,0.5956,0.6591,0.5286,0.6916,0.5538,0.9208,1.92e-04,182,0.6692,0.5140,0.5834,0.5705,0.3480
14,0.5645,0.6495,0.5216,0.6856,0.5446,0.9250,1.89e-04,182,0.6979,0.4947,0.5816,0.5811,0.3240
15,0.5385,0.6306,0.5285,0.6916,0.5503,0.9306,1.87e-04,181,0.6601,0.5119,0.5685,0.5592,0.3659
16,0.5212,0.6200,0.5442,0.7048,0.5695,0.9245,1.84e-04,180,0.6918,0.5293,0.5890,0.5790,0.3684
17,0.5029,0.5891,0.5357,0.6977,0.5560,0.9361,1.80e-04,180,0.6946,0.5025,0.5688,0.5822,0.3648
18,0.4879,0.5848,0.5696,0.7258,0.5952,0.9298,1.77e-04,180,0.7171,0.5561,0.6001,0.6065,0.3940
19,0.4786,0.5535,0.6169,0.7631,0.6527,0.9183,1.73e-04,180,0.7582,0.6253,0.6511,0.6496,0.4292
20,0.4607,0.5590,0.6000,0.7500,0.6298,0.9268,1.69e-04,180,0.7570,0.5927,0.6370,0.6414,0.4065
21,0.4489,0.5352,0.5758,0.7308,0.5977,0.9402,1.64e-04,180,0.7445,0.5614,0.6090,0.6055,0.3975
22,0.4343,0.5155,0.6160,0.7624,0.6448,0.9325,1.60e-04,180,0.7785,0.5917,0.6479,0.6540,0.4331
23,0.4256,0.5289,0.6142,0.7610,0.6429,0.9323,1.55e-04,180,0.7540,0.5928,0.6352,0.6461,0.4525
24,0.4138,0.4985,0.6159,0.7623,0.6407,0.9407,1.50e-04,180,0.7669,0.6008,0.6482,0.6414,0.4432
25,0.4060,0.5187,0.6382,0.7792,0.6725,0.9260,1.45e-04,180,0.7743,0.6226,0.6607,0.6669,0.4723
26,0.3959,0.4858,0.6640,0.7981,0.7010,0.9263,1.40e-04,180,0.8041,0.6505,0.6854,0.6972,0.4898
27,0.3873,0.4728,0.6353,0.7770,0.6617,0.9409,1.34e-04,181,0.7812,0.6256,0.6629,0.6792,0.4493
28,0.3802,0.4698,0.6425,0.7823,0.6705,0.9389,1.29e-04,181,0.8012,0.6326,0.6744,0.6826,0.4491
29,0.3698,0.4656,0.6669,0.8002,0.7018,0.9306,1.23e-04,181,0.8097,0.6521,0.6907,0.7016,0.4900
30,0.3638,0.4674,0.6172,0.7633,0.6403,0.9447,1.17e-04,180,0.7796,0.6236,0.6620,0.6504,0.4185
31,0.3548,0.4614,0.6147,0.7614,0.6350,0.9505,1.12e-04,180,0.7878,0.6107,0.6564,0.6638,0.4083
32,0.3513,0.4427,0.6379,0.7789,0.6610,0.9480,1.06e-04,179,0.7958,0.6373,0.6696,0.6812,0.4405
33,0.3441,0.4348,0.6568,0.7929,0.6810,0.9487,1.00e-04,179,0.8070,0.6453,0.6793,0.6959,0.4751
34,0.3372,0.4406,0.6728,0.8044,0.7046,0.9371,9.42e-05,179,0.8109,0.6763,0.7036,0.7075,0.4851
35,0.3318,0.4435,0.6696,0.8021,0.6988,0.9413,8.84e-05,181,0.8218,0.6630,0.6992,0.7108,0.4749
36,0.3261,0.4365,0.6768,0.8073,0.7074,0.9399,8.26e-05,180,0.8182,0.6782,0.7065,0.7127,0.4868
37,0.3204,0.4268,0.6534,0.7903,0.6755,0.9523,7.69e-05,183,0.8037,0.6262,0.6704,0.6937,0.4838
38,0.3140,0.4288,0.6635,0.7977,0.6887,0.9477,7.13e-05,184,0.8051,0.6629,0.6945,0.6985,0.4769
39,0.3097,0.4351,0.6674,0.8006,0.6942,0.9454,6.58e-05,180,0.8117,0.6548,0.6902,0.7074,0.4871
40,0.3076,0.4132,0.6697,0.8022,0.6941,0.9502,6.04e-05,180,0.8145,0.6490,0.6940,0.7069,0.4955
41,0.2987,0.4266,0.6909,0.8172,0.7223,0.9408,5.51e-05,184,0.8347,0.6736,0.7107,0.7257,0.5154
42,0.2973,0.4136,0.6909,0.8172,0.7203,0.9441,5.00e-05,179,0.8346,0.6687,0.7086,0.7286,0.5178
43,0.2925,0.4289,0.6946,0.8198,0.7253,0.9424,4.50e-05,179,0.8297,0.6649,0.7045,0.7290,0.5383
44,0.2896,0.4282,0.6889,0.8158,0.7187,0.9433,4.03e-05,179,0.8292,0.6913,0.7173,0.7279,0.4976
45,0.2853,0.4256,0.6960,0.8207,0.7272,0.9419,3.57e-05,181,0.8312,0.6733,0.7098,0.7301,0.5333
46,0.2819,0.4187,0.6987,0.8226,0.7285,0.9446,3.14e-05,180,0.8411,0.6756,0.7137,0.7337,0.5310
47,0.2772,0.4526,0.6828,0.8115,0.7157,0.9369,2.72e-05,181,0.8306,0.6581,0.7050,0.7285,0.5007
