epoch,train_loss,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage
1,2.0221,1.9172,0.0706,0.1318,0.0711,0.9081,2.09e-05,62,0.0699,0.0642,0.0775,0.0787,0.0614
2,1.7948,1.7307,0.0862,0.1587,0.0867,0.9340,5.61e-05,59,0.0937,0.0762,0.0930,0.0983,0.0685
3,1.6445,1.6220,0.1237,0.2201,0.1251,0.9179,1.04e-04,60,0.1357,0.1143,0.1360,0.1355,0.0949
4,1.5614,1.5507,0.1349,0.2377,0.1366,0.9148,1.52e-04,60,0.1465,0.1231,0.1457,0.1524,0.1040
5,1.4809,1.4673,0.1683,0.2881,0.1713,0.9053,1.87e-04,63,0.1928,0.1517,0.1913,0.1907,0.1185
6,1.3847,1.3754,0.2208,0.3617,0.2273,0.8857,2.00e-04,61,0.2549,0.2132,0.2509,0.2352,0.1530
7,1.2983,1.2963,0.2202,0.3609,0.2250,0.9116,2.00e-04,61,0.2565,0.2039,0.2464,0.2474,0.1523
8,1.2177,1.2019,0.2526,0.4033,0.2584,0.9188,1.99e-04,60,0.2971,0.2374,0.2772,0.2763,0.1787
9,1.1427,1.1467,0.2919,0.4519,0.3013,0.9030,1.98e-04,61,0.3420,0.2856,0.3237,0.3093,0.2064
10,1.0729,1.1107,0.3014,0.4632,0.3117,0.9008,1.97e-04,59,0.3603,0.2852,0.3340,0.3259,0.2088
11,1.0159,1.0499,0.3173,0.4818,0.3269,0.9157,1.96e-04,60,0.3928,0.2973,0.3493,0.3446,0.2160
12,0.9605,1.0052,0.3346,0.5014,0.3449,0.9180,1.94e-04,60,0.4103,0.3056,0.3563,0.3648,0.2391
13,0.9151,0.9480,0.3500,0.5186,0.3600,0.9266,1.92e-04,60,0.4403,0.3137,0.3778,0.3947,0.2390
14,0.8664,0.9334,0.3839,0.5548,0.3986,0.9120,1.89e-04,60,0.4717,0.3698,0.4192,0.4184,0.2570
15,0.8304,0.9489,0.3799,0.5506,0.3963,0.9016,1.87e-04,60,0.4947,0.3647,0.4293,0.4311,0.2313
