epoch,train_loss,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage
1,2.0418,1.9353,0.0677,0.1268,0.0679,0.9554,2.09e-05,117,0.0714,0.0585,0.0751,0.0787,0.0542
2,1.7968,1.7367,0.1126,0.2024,0.1135,0.9326,5.61e-05,115,0.1178,0.1041,0.1280,0.1217,0.0898
3,1.6529,1.6040,0.1495,0.2601,0.1512,0.9327,1.04e-04,114,0.1653,0.1339,0.1692,0.1670,0.1118
4,1.5232,1.4842,0.1940,0.3249,0.1979,0.9080,1.52e-04,114,0.2202,0.1874,0.2078,0.2023,0.1488
5,1.3732,1.3044,0.2334,0.3785,0.2377,0.9274,1.87e-04,115,0.2721,0.2149,0.2576,0.2552,0.1695
6,1.2155,1.1717,0.2869,0.4459,0.2940,0.9224,2.00e-04,114,0.3413,0.2631,0.3117,0.3116,0.2077
7,1.0681,1.0432,0.3061,0.4687,0.3125,0.9375,2.00e-04,114,0.3826,0.2826,0.3376,0.3355,0.2087
8,0.9522,0.9376,0.3655,0.5354,0.3754,0.9327,1.99e-04,113,0.4486,0.3427,0.3962,0.3952,0.2557
9,0.8613,0.8757,0.4242,0.5957,0.4398,0.9230,1.98e-04,115,0.5133,0.4112,0.4628,0.4626,0.2886
10,0.7923,0.7938,0.4292,0.6006,0.4421,0.9360,1.97e-04,113,0.5041,0.3982,0.4512,0.4616,0.3252
11,0.7386,0.7873,0.4906,0.6582,0.5167,0.9067,1.96e-04,114,0.5773,0.4751,0.5120,0.5187,0.3667
12,0.6914,0.7194,0.4780,0.6468,0.4952,0.9323,1.94e-04,114,0.5732,0.4711,0.5079,0.5066,0.3432
13,0.6603,0.7135,0.4201,0.5916,0.4284,0.9559,1.92e-04,115,0.5252,0.3806,0.4425,0.4627,0.3018
14,0.6263,0.6801,0.4690,0.6386,0.4820,0.9457,1.89e-04,114,0.5677,0.4467,0.4896,0.4959,0.3487
15,0.6014,0.6420,0.5119,0.6771,0.5294,0.9393,1.87e-04,114,0.6057,0.5008,0.5405,0.5457,0.3722
16,0.5768,0.6192,0.5112,0.6766,0.5268,0.9453,1.84e-04,117,0.6198,0.4962,0.5369,0.5489,0.3678
17,0.5592,0.6626,0.5236,0.6873,0.5448,0.9310,1.80e-04,114,0.6245,0.4962,0.5445,0.5579,0.3922
