epoch,train_loss,train_seg,train_profile,train_trace,ramp,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_noise_low,val_iou_noise_mid,val_iou_noise_high
1,0.53685,0.53685,0.00000,0.00000,0.00,0.50643,0.2107,0.3480,0.2143,0.9265,1.09e-05,211,0.2272,0.2032,0.1558
2,0.50332,0.50332,0.00000,0.00000,0.00,0.48135,0.3610,0.5305,0.3757,0.9023,2.08e-05,178,0.3761,0.3555,0.2923
3,0.48444,0.48444,0.00000,0.00000,0.00,0.46523,0.4208,0.5923,0.4372,0.9183,3.07e-05,121,0.4355,0.4158,0.3512
4,0.46897,0.46897,0.00000,0.00000,0.00,0.45097,0.4872,0.6552,0.5044,0.9346,4.06e-05,115,0.5005,0.4823,0.4236
5,0.45668,0.45668,0.00000,0.00000,0.00,0.43951,0.5515,0.7110,0.5715,0.9405,5.05e-05,115,0.5620,0.5496,0.4893
6,0.44611,0.44611,0.00000,0.00000,0.00,0.42972,0.5966,0.7474,0.6199,0.9407,6.04e-05,130,0.6085,0.5914,0.5430
7,0.43572,0.43572,0.00000,0.00000,0.00,0.41987,0.6203,0.7657,0.6463,0.9391,7.03e-05,164,0.6316,0.6162,0.5636
8,0.42518,0.42518,0.00000,0.00000,0.00,0.40821,0.6251,0.7693,0.6469,0.9487,8.02e-05,170,0.6310,0.6229,0.5937
9,0.41353,0.41353,0.00000,0.00000,0.00,0.39476,0.6606,0.7956,0.6875,0.9440,9.01e-05,162,0.6681,0.6591,0.6141
10,0.39873,0.39873,0.00000,0.00000,0.00,0.37892,0.6842,0.8125,0.7100,0.9496,1.00e-04,110,0.6894,0.6839,0.6475
11,0.38499,0.38499,0.00000,0.00000,0.05,0.36548,0.6856,0.8135,0.7126,0.9476,1.00e-04,111,0.6904,0.6854,0.6508
12,0.36974,0.36974,0.00000,0.00000,0.10,0.35084,0.6967,0.8213,0.7270,0.9436,1.00e-04,91,0.7024,0.6948,0.6655
13,0.35450,0.35450,0.00000,0.00000,0.15,0.33420,0.7213,0.8381,0.7529,0.9449,9.99e-05,68,0.7281,0.7179,0.6901
14,0.33956,0.33956,0.00000,0.00000,0.20,0.31867,0.7410,0.8512,0.7789,0.9384,9.99e-05,63,0.7476,0.7388,0.7054
15,0.32509,0.32509,0.00000,0.00000,0.25,0.30558,0.7367,0.8484,0.7746,0.9377,9.98e-05,63,0.7435,0.7337,0.7032
16,0.31051,0.31051,0.00000,0.00000,0.30,0.29167,0.7464,0.8548,0.7913,0.9293,9.98e-05,63,0.7530,0.7443,0.7097
17,0.29508,0.29508,0.00000,0.00000,0.35,0.27325,0.7680,0.8688,0.8063,0.9417,9.97e-05,63,0.7766,0.7636,0.7300
