epoch,train_loss,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage
1,1.9015,1.7571,0.0632,0.1189,0.0635,0.9316,2.09e-05,127,0.0574,0.0717,0.0775,0.0665,0.0444
2,1.6822,1.6278,0.0860,0.1583,0.0865,0.9297,5.61e-05,126,0.0803,0.1018,0.1048,0.0910,0.0566
3,1.5599,1.5135,0.1147,0.2057,0.1155,0.9414,1.04e-04,125,0.1136,0.1316,0.1292,0.1217,0.0795
4,1.4459,1.3909,0.1232,0.2194,0.1240,0.9537,1.52e-04,125,0.1239,0.1468,0.1399,0.1320,0.0804
5,1.3262,1.2799,0.1940,0.3249,0.1969,0.9296,1.87e-04,125,0.2004,0.2207,0.2123,0.2028,0.1360
6,1.2227,1.1831,0.2017,0.3356,0.2045,0.9362,2.00e-04,125,0.2105,0.2297,0.2146,0.2235,0.1372
7,1.1303,1.1041,0.2090,0.3458,0.2118,0.9418,2.00e-04,125,0.2123,0.2417,0.2334,0.2174,0.1454
8,1.0572,1.0367,0.2506,0.4007,0.2554,0.9298,1.99e-04,125,0.2668,0.2841,0.2820,0.2609,0.1685
9,0.9981,0.9921,0.2783,0.4354,0.2847,0.9246,1.98e-04,125,0.2831,0.3059,0.3079,0.2876,0.2051
10,0.9454,0.9717,0.2898,0.4494,0.2979,0.9145,1.97e-04,125,0.2893,0.3241,0.3085,0.2974,0.2237
11,0.8996,0.9396,0.3028,0.4649,0.3115,0.9157,1.96e-04,125,0.3179,0.3399,0.3263,0.3078,0.2218
12,0.8712,0.8693,0.3249,0.4905,0.3336,0.9259,1.94e-04,125,0.3331,0.3586,0.3518,0.3280,0.2482
13,0.8393,0.8619,0.3235,0.4888,0.3319,0.9271,1.92e-04,127,0.3428,0.3652,0.3605,0.3400,0.2191
14,0.8175,0.8496,0.3025,0.4645,0.3089,0.9360,1.89e-04,127,0.3062,0.3372,0.3312,0.3042,0.2304
15,0.7953,0.8275,0.3535,0.5224,0.3641,0.9245,1.87e-04,126,0.3637,0.3885,0.3744,0.3564,0.2780
16,0.7778,0.8076,0.3370,0.5041,0.3452,0.9341,1.84e-04,126,0.3536,0.3606,0.3637,0.3432,0.2588
17,0.7580,0.8356,0.4232,0.5947,0.4457,0.8934,1.80e-04,126,0.4331,0.4488,0.4469,0.4230,0.3522
18,0.7421,0.7945,0.3874,0.5584,0.4009,0.9199,1.77e-04,126,0.3978,0.4232,0.4038,0.3889,0.3134
19,0.7274,0.7935,0.3512,0.5198,0.3604,0.9323,1.73e-04,126,0.3598,0.3851,0.3629,0.3609,0.2796
20,0.7131,0.7586,0.3822,0.5530,0.3929,0.9334,1.69e-04,126,0.3894,0.4112,0.4014,0.3875,0.3119
