epoch,train_loss,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage
1,0.56428,0.55309,0.1254,0.2229,0.1280,0.8583,1.09e-05,127,0.1331,0.1164,0.1370,0.1354,0.1018
2,0.54827,0.53845,0.1835,0.3100,0.1891,0.8594,2.08e-05,121,0.1958,0.1743,0.1972,0.1906,0.1539
3,0.53845,0.53086,0.2057,0.3413,0.2122,0.8714,3.07e-05,121,0.2223,0.1959,0.2210,0.2177,0.1660
4,0.53055,0.52396,0.2309,0.3752,0.2389,0.8727,4.06e-05,121,0.2486,0.2187,0.2457,0.2446,0.1889
5,0.52348,0.51630,0.2486,0.3981,0.2563,0.8920,5.05e-05,121,0.2752,0.2316,0.2610,0.2642,0.2018
6,0.51580,0.50808,0.2727,0.4286,0.2816,0.8969,6.04e-05,122,0.2993,0.2570,0.2830,0.2862,0.2275
7,0.50687,0.49842,0.3012,0.4629,0.3115,0.9011,7.03e-05,121,0.3284,0.2851,0.3092,0.3174,0.2536
8,0.49719,0.48816,0.3189,0.4836,0.3316,0.8928,8.02e-05,122,0.3497,0.3011,0.3231,0.3348,0.2718
9,0.48593,0.47473,0.3382,0.5055,0.3518,0.8975,9.01e-05,122,0.3750,0.3176,0.3430,0.3576,0.2835
10,0.47105,0.45727,0.3533,0.5221,0.3662,0.9092,1.00e-04,122,0.3937,0.3295,0.3563,0.3750,0.2960
11,0.45434,0.43947,0.3885,0.5596,0.4069,0.8956,1.00e-04,121,0.4340,0.3619,0.3875,0.4080,0.3331
12,0.43592,0.41870,0.4144,0.5860,0.4360,0.8930,1.00e-04,121,0.4619,0.3945,0.4185,0.4312,0.3486
13,0.41555,0.39819,0.4342,0.6055,0.4596,0.8871,9.99e-05,122,0.4855,0.4111,0.4335,0.4518,0.3700
14,0.39434,0.37645,0.4609,0.6309,0.4906,0.8837,9.99e-05,121,0.5211,0.4372,0.4601,0.4770,0.3898
15,0.37339,0.35444,0.4791,0.6478,0.5135,0.8771,9.98e-05,122,0.5447,0.4569,0.4716,0.4965,0.4052
16,0.35317,0.33342,0.4968,0.6638,0.5325,0.8810,9.98e-05,122,0.5677,0.4660,0.4903,0.5141,0.4235
17,0.33293,0.31509,0.5096,0.6751,0.5525,0.8678,9.97e-05,122,0.5769,0.4853,0.5026,0.5269,0.4341
18,0.31477,0.29891,0.5250,0.6885,0.5772,0.8529,9.96e-05,122,0.5967,0.5056,0.5125,0.5360,0.4510
19,0.30023,0.28134,0.5392,0.7006,0.5915,0.8591,9.94e-05,121,0.6032,0.5201,0.5259,0.5552,0.4684
20,0.28535,0.26784,0.5517,0.7111,0.6092,0.8539,9.93e-05,122,0.6285,0.5271,0.5375,0.5618,0.4806
21,0.27092,0.25408,0.5611,0.7188,0.6198,0.8555,9.92e-05,122,0.6333,0.5423,0.5431,0.5713,0.4919
22,0.25933,0.24207,0.5780,0.7326,0.6409,0.8548,9.90e-05,122,0.6508,0.5615,0.5632,0.5914,0.4999
23,0.24810,0.23156,0.5855,0.7386,0.6490,0.8568,9.89e-05,122,0.6623,0.5640,0.5670,0.6004,0.5087
24,0.24192,0.22490,0.5910,0.7429,0.6609,0.8481,9.87e-05,122,0.6676,0.5673,0.5765,0.6050,0.5117
25,0.23356,0.21971,0.5825,0.7362,0.6422,0.8624,9.85e-05,122,0.6526,0.5616,0.5649,0.5984,0.5105
26,0.22723,0.21251,0.5948,0.7460,0.6625,0.8534,9.83e-05,122,0.6706,0.5727,0.5774,0.6101,0.5174
27,0.21902,0.20442,0.6022,0.7517,0.6623,0.8690,9.80e-05,122,0.6827,0.5808,0.5860,0.6156,0.5206
28,0.21141,0.19804,0.6208,0.7661,0.6910,0.8593,9.78e-05,122,0.7081,0.5969,0.6049,0.6315,0.5366
29,0.20618,0.19388,0.6322,0.7747,0.7135,0.8473,9.76e-05,122,0.7158,0.6155,0.6222,0.6452,0.5353
30,0.19978,0.18863,0.6406,0.7809,0.7270,0.8435,9.73e-05,122,0.7338,0.6125,0.6227,0.6553,0.5481
31,0.19716,0.17931,0.6591,0.7945,0.7373,0.8614,9.70e-05,122,0.7601,0.6327,0.6430,0.6715,0.5602
32,0.19109,0.17817,0.6583,0.7940,0.7540,0.8384,9.67e-05,122,0.7577,0.6397,0.6354,0.6696,0.5613
33,0.18406,0.17072,0.6639,0.7980,0.7495,0.8531,9.64e-05,122,0.7656,0.6390,0.6429,0.6759,0.5683
34,0.18087,0.16734,0.6651,0.7989,0.7449,0.8613,9.61e-05,122,0.7660,0.6410,0.6454,0.6802,0.5640
35,0.17673,0.16336,0.6754,0.8062,0.7593,0.8594,9.58e-05,122,0.7800,0.6526,0.6573,0.6885,0.5696
36,0.17372,0.16174,0.6690,0.8017,0.7487,0.8628,9.55e-05,121,0.7621,0.6482,0.6521,0.6829,0.5721
37,0.16897,0.15817,0.6753,0.8062,0.7561,0.8634,9.51e-05,122,0.7749,0.6525,0.6603,0.6908,0.5704
38,0.16782,0.15317,0.6891,0.8159,0.7780,0.8577,9.47e-05,122,0.7978,0.6640,0.6616,0.7025,0.5904
39,0.16612,0.15180,0.6836,0.8121,0.7595,0.8725,9.44e-05,122,0.7843,0.6562,0.6704,0.6996,0.5793
40,0.16135,0.14981,0.6871,0.8145,0.7652,0.8707,9.40e-05,122,0.7921,0.6674,0.6716,0.7004,0.5786
41,0.15780,0.14743,0.6993,0.8230,0.7900,0.8589,9.36e-05,121,0.8105,0.6799,0.6795,0.7084,0.5907
42,0.15603,0.14389,0.6926,0.8184,0.7616,0.8843,9.32e-05,122,0.7995,0.6652,0.6742,0.7070,0.5911
43,0.15556,0.14973,0.6966,0.8211,0.8143,0.8281,9.27e-05,122,0.8206,0.6730,0.6695,0.7084,0.5808
44,0.15167,0.13945,0.7102,0.8306,0.7998,0.8638,9.23e-05,122,0.8219,0.6854,0.6891,0.7267,0.5995
45,0.14991,0.14238,0.6999,0.8235,0.7960,0.8529,9.19e-05,122,0.8012,0.6792,0.6838,0.7160,0.5900
46,0.14863,0.14041,0.6955,0.8204,0.7760,0.8702,9.14e-05,122,0.8008,0.6708,0.6753,0.7059,0.5997
