epoch,train_loss,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage
1,2.1165,1.8617,0.0608,0.1147,0.0613,0.8886,2.09e-05,71,0.0544,0.0699,0.0750,0.0638,0.0421
2,1.7413,1.6723,0.1032,0.1871,0.1040,0.9285,5.61e-05,69,0.0983,0.1163,0.1234,0.1100,0.0705
3,1.6212,1.5929,0.1038,0.1880,0.1043,0.9515,1.04e-04,70,0.0989,0.1165,0.1267,0.1068,0.0725
4,1.5347,1.4894,0.1447,0.2528,0.1458,0.9517,1.52e-04,70,0.1404,0.1612,0.1704,0.1509,0.1021
5,1.4494,1.4103,0.1795,0.3044,0.1813,0.9479,1.87e-04,70,0.1769,0.2031,0.2149,0.1968,0.1162
6,1.3693,1.3363,0.1796,0.3045,0.1811,0.9573,2.00e-04,70,0.1782,0.2052,0.2159,0.1884,0.1190
7,1.3052,1.2762,0.1987,0.3315,0.2003,0.9600,2.00e-04,70,0.1987,0.2161,0.2272,0.2145,0.1403
8,1.2496,1.2190,0.2354,0.3811,0.2379,0.9571,1.99e-04,70,0.2379,0.2618,0.2717,0.2467,0.1636
9,1.2047,1.1825,0.2151,0.3541,0.2168,0.9653,1.98e-04,70,0.2169,0.2399,0.2466,0.2198,0.1546
10,1.1640,1.1409,0.2347,0.3802,0.2368,0.9647,1.97e-04,70,0.2333,0.2648,0.2723,0.2469,0.1623
11,1.1259,1.1138,0.2217,0.3629,0.2233,0.9687,1.96e-04,70,0.2266,0.2512,0.2670,0.2318,0.1448
12,1.0934,1.0739,0.2666,0.4209,0.2695,0.9608,1.94e-04,70,0.2667,0.2953,0.3030,0.2690,0.1973
13,1.0628,1.0407,0.2854,0.4441,0.2888,0.9605,1.92e-04,70,0.2841,0.3145,0.3231,0.2885,0.2138
14,1.0323,1.0192,0.3254,0.4910,0.3312,0.9493,1.89e-04,70,0.3248,0.3527,0.3627,0.3255,0.2544
15,1.0031,0.9874,0.2984,0.4597,0.3022,0.9601,1.87e-04,70,0.3016,0.3329,0.3425,0.3063,0.2123
