epoch,train_loss,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage
1,2.2067,2.0840,0.0889,0.1632,0.0933,0.6530,2.09e-05,40,0.0880,0.0833,0.1025,0.0950,0.0743
2,1.8904,1.7620,0.1299,0.2299,0.1319,0.8954,5.61e-05,37,0.1393,0.1187,0.1410,0.1442,0.1032
3,1.6797,1.6399,0.1688,0.2889,0.1716,0.9128,1.04e-04,37,0.1943,0.1508,0.1916,0.1962,0.1163
4,1.5795,1.5366,0.2278,0.3711,0.2332,0.9077,1.52e-04,37,0.2691,0.2089,0.2553,0.2589,0.1537
5,1.4934,1.4685,0.2458,0.3946,0.2513,0.9183,1.87e-04,37,0.2910,0.2261,0.2760,0.2789,0.1661
6,1.4115,1.3955,0.3009,0.4626,0.3099,0.9121,2.00e-04,37,0.3581,0.2812,0.3363,0.3355,0.2031
7,1.3450,1.3230,0.3329,0.4995,0.3420,0.9258,2.00e-04,37,0.3997,0.3054,0.3768,0.3755,0.2228
8,1.2826,1.2640,0.3314,0.4978,0.3382,0.9423,1.99e-04,37,0.4072,0.3024,0.3645,0.3760,0.2240
9,1.2338,1.2320,0.3491,0.5175,0.3570,0.9406,1.98e-04,37,0.4370,0.3132,0.3787,0.3992,0.2355
10,1.1902,1.1762,0.3863,0.5573,0.3955,0.9429,1.97e-04,37,0.4666,0.3645,0.4251,0.4355,0.2593
11,1.1456,1.1454,0.3754,0.5459,0.3832,0.9486,1.96e-04,37,0.4663,0.3472,0.4155,0.4253,0.2489
12,1.1101,1.1079,0.3666,0.5366,0.3726,0.9585,1.94e-04,37,0.4756,0.3256,0.3955,0.4232,0.2439
13,1.0720,1.0717,0.3812,0.5520,0.3873,0.9604,1.92e-04,37,0.4985,0.3360,0.4162,0.4377,0.2533
14,1.0408,1.0353,0.4100,0.5816,0.4174,0.9590,1.89e-04,37,0.5176,0.3760,0.4503,0.4725,0.2686
15,1.0073,1.0146,0.4409,0.6120,0.4512,0.9507,1.87e-04,37,0.5619,0.4177,0.4829,0.4983,0.2852
16,0.9831,1.0007,0.4398,0.6109,0.4504,0.9494,1.84e-04,37,0.5628,0.4001,0.4741,0.4975,0.2944
17,0.9528,0.9602,0.4726,0.6419,0.4848,0.9496,1.80e-04,37,0.5959,0.4404,0.5122,0.5315,0.3163
18,0.9255,0.9327,0.4725,0.6418,0.4838,0.9531,1.77e-04,37,0.5855,0.4442,0.4989,0.5255,0.3291
19,0.8997,0.9037,0.4655,0.6352,0.4743,0.9613,1.73e-04,37,0.5951,0.4197,0.4889,0.5217,0.3255
20,0.8772,0.9064,0.4562,0.6266,0.4665,0.9539,1.69e-04,37,0.6050,0.4270,0.4984,0.5155,0.2901
21,0.8548,0.8764,0.5346,0.6967,0.5526,0.9423,1.64e-04,37,0.6485,0.5222,0.5669,0.5792,0.3740
22,0.8354,0.8456,0.4934,0.6608,0.5039,0.9596,1.60e-04,37,0.6225,0.4525,0.5173,0.5464,0.3478
23,0.8126,0.8236,0.5015,0.6680,0.5120,0.9610,1.55e-04,37,0.6336,0.4667,0.5299,0.5561,0.3469
24,0.7945,0.8088,0.4900,0.6577,0.4992,0.9639,1.50e-04,37,0.6357,0.4562,0.5286,0.5566,0.3219
25,0.7802,0.7943,0.5257,0.6892,0.5383,0.9575,1.45e-04,37,0.6560,0.5013,0.5517,0.5756,0.3680
26,0.7659,0.7871,0.5225,0.6864,0.5353,0.9560,1.40e-04,37,0.6568,0.4941,0.5544,0.5770,0.3592
27,0.7485,0.7702,0.5351,0.6971,0.5488,0.9552,1.34e-04,37,0.6684,0.5170,0.5739,0.5886,0.3630
28,0.7331,0.7529,0.5455,0.7059,0.5596,0.9558,1.29e-04,37,0.6890,0.5214,0.5788,0.6022,0.3713
29,0.7150,0.7349,0.5353,0.6973,0.5470,0.9615,1.23e-04,37,0.6718,0.5049,0.5534,0.5944,0.3752
30,0.7031,0.7200,0.5719,0.7277,0.5877,0.9551,1.17e-04,37,0.7120,0.5491,0.5986,0.6302,0.3971
31,0.6898,0.7111,0.5233,0.6870,0.5326,0.9677,1.12e-04,37,0.6755,0.4916,0.5512,0.5843,0.3540
32,0.6753,0.7019,0.5848,0.7380,0.6020,0.9534,1.06e-04,37,0.7134,0.5740,0.6073,0.6328,0.4155
33,0.6651,0.6944,0.5795,0.7338,0.5961,0.9541,9.99e-05,37,0.7110,0.5638,0.6057,0.6301,0.4085
34,0.6563,0.6770,0.5870,0.7398,0.6028,0.9574,9.41e-05,37,0.7180,0.5674,0.6070,0.6362,0.4220
35,0.6435,0.6701,0.5872,0.7400,0.6033,0.9567,8.83e-05,37,0.7212,0.5712,0.6099,0.6374,0.4169
36,0.6334,0.6596,0.5833,0.7368,0.5979,0.9598,8.26e-05,37,0.7229,0.5551,0.6068,0.6382,0.4145
37,0.6251,0.6515,0.5829,0.7365,0.5972,0.9604,7.69e-05,37,0.7170,0.5609,0.6103,0.6367,0.4121
38,0.6168,0.6436,0.5846,0.7378,0.5984,0.9619,7.13e-05,37,0.7176,0.5610,0.6061,0.6377,0.4190
39,0.6078,0.6421,0.5691,0.7254,0.5815,0.9639,6.57e-05,37,0.7157,0.5496,0.6026,0.6335,0.3846
40,0.6001,0.6319,0.5833,0.7368,0.5965,0.9635,6.03e-05,37,0.7263,0.5595,0.6059,0.6377,0.4122
41,0.5932,0.6284,0.5996,0.7497,0.6152,0.9593,5.51e-05,37,0.7415,0.5785,0.6206,0.6527,0.4264
42,0.5870,0.6205,0.5942,0.7455,0.6084,0.9622,5.00e-05,37,0.7328,0.5757,0.6201,0.6489,0.4185
43,0.5816,0.6163,0.5830,0.7366,0.5953,0.9657,4.50e-05,37,0.7277,0.5565,0.6036,0.6396,0.4126
44,0.5768,0.6102,0.5916,0.7434,0.6047,0.9645,4.02e-05,37,0.7311,0.5703,0.6105,0.6466,0.4213
45,0.5693,0.6084,0.6177,0.7637,0.6352,0.9574,3.57e-05,37,0.7560,0.6019,0.6411,0.6725,0.4387
46,0.5639,0.6076,0.6170,0.7631,0.6345,0.9571,3.13e-05,37,0.7548,0.6046,0.6432,0.6684,0.4371
