epoch,train_loss,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage
1,0.57824,0.57206,0.0730,0.1361,0.0742,0.8229,1.09e-05,67,0.0776,0.0643,0.0823,0.0826,0.0586
2,0.56617,0.55680,0.1375,0.2418,0.1402,0.8786,2.08e-05,64,0.1547,0.1248,0.1482,0.1467,0.1102
3,0.55562,0.54803,0.1916,0.3216,0.1973,0.8691,3.07e-05,64,0.2233,0.1770,0.2142,0.2056,0.1376
4,0.54877,0.54265,0.2287,0.3722,0.2370,0.8669,4.06e-05,64,0.2590,0.2140,0.2527,0.2455,0.1685
5,0.54274,0.53649,0.2536,0.4045,0.2618,0.8899,5.05e-05,64,0.2951,0.2308,0.2759,0.2739,0.1877
6,0.53658,0.53120,0.2775,0.4344,0.2863,0.8997,6.04e-05,64,0.3297,0.2511,0.2981,0.3011,0.2043
7,0.53101,0.52516,0.3281,0.4940,0.3409,0.8968,7.03e-05,64,0.3886,0.2971,0.3524,0.3528,0.2436
8,0.52564,0.51990,0.3591,0.5284,0.3728,0.9071,8.02e-05,64,0.4264,0.3219,0.3799,0.3888,0.2714
9,0.52073,0.51564,0.3999,0.5714,0.4180,0.9025,9.01e-05,64,0.4788,0.3675,0.4246,0.4283,0.2948
10,0.51668,0.51179,0.4215,0.5931,0.4409,0.9057,1.00e-04,64,0.5079,0.3854,0.4435,0.4526,0.3127
11,0.51218,0.50681,0.4446,0.6155,0.4631,0.9177,1.00e-04,64,0.5334,0.4038,0.4649,0.4712,0.3413
12,0.50799,0.50316,0.4806,0.6492,0.5055,0.9068,1.00e-04,64,0.5710,0.4408,0.5008,0.5033,0.3742
13,0.50429,0.50021,0.4797,0.6484,0.5035,0.9102,9.99e-05,64,0.5685,0.4437,0.4998,0.5035,0.3721
14,0.50057,0.49567,0.4971,0.6640,0.5208,0.9160,9.99e-05,64,0.5837,0.4602,0.5155,0.5240,0.3883
15,0.49612,0.49036,0.5029,0.6692,0.5264,0.9185,9.98e-05,64,0.5908,0.4655,0.5176,0.5311,0.3956
16,0.49047,0.48504,0.5110,0.6764,0.5329,0.9257,9.98e-05,64,0.6016,0.4685,0.5281,0.5432,0.3999
17,0.48568,0.48125,0.5107,0.6761,0.5330,0.9241,9.97e-05,64,0.6021,0.4723,0.5291,0.5381,0.3998
18,0.48135,0.47564,0.5311,0.6938,0.5556,0.9235,9.96e-05,64,0.6299,0.4917,0.5441,0.5588,0.4173
19,0.47624,0.47086,0.5523,0.7116,0.5804,0.9195,9.94e-05,64,0.6430,0.5115,0.5648,0.5798,0.4440
20,0.47161,0.46708,0.5415,0.7025,0.5670,0.9233,9.93e-05,64,0.6405,0.5054,0.5491,0.5688,0.4300
21,0.46644,0.46064,0.5511,0.7106,0.5740,0.9325,9.92e-05,64,0.6492,0.5141,0.5628,0.5811,0.4357
22,0.46174,0.45575,0.5695,0.7257,0.5966,0.9261,9.90e-05,64,0.6624,0.5330,0.5785,0.5971,0.4590
23,0.45658,0.45064,0.5779,0.7325,0.6055,0.9268,9.89e-05,64,0.6731,0.5422,0.5869,0.6058,0.4643
24,0.45129,0.44515,0.5858,0.7388,0.6146,0.9259,9.87e-05,64,0.6850,0.5444,0.5937,0.6129,0.4752
25,0.44665,0.44105,0.5740,0.7293,0.6003,0.9289,9.85e-05,64,0.6808,0.5368,0.5863,0.6001,0.4534
26,0.44130,0.43409,0.5991,0.7493,0.6277,0.9292,9.83e-05,64,0.6887,0.5603,0.6066,0.6262,0.4928
27,0.43603,0.42858,0.6065,0.7550,0.6350,0.9311,9.80e-05,64,0.7095,0.5661,0.6134,0.6363,0.4892
28,0.43133,0.42393,0.6005,0.7504,0.6289,0.9300,9.78e-05,64,0.6974,0.5617,0.6061,0.6284,0.4904
29,0.42533,0.41823,0.6207,0.7660,0.6536,0.9252,9.76e-05,64,0.7144,0.5776,0.6259,0.6524,0.5107
30,0.42032,0.41364,0.6193,0.7649,0.6524,0.9243,9.73e-05,64,0.7175,0.5811,0.6275,0.6516,0.4999
